trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.200,0.00,0,1,success,686,-1,151,151,187,500,3,0.00,1.96,3,1,0,0.1332,1.98,868,0,1.355,0.00,0.200,1.00,0.00,
2,lift,envelope,0.200,0.00,1,1,success,679,-1,150,150,180,500,3,0.00,1.96,2,1,0,0.1230,3.92,1161,0,1.289,0.00,0.200,1.00,0.00,
3,lift,envelope,0.200,0.00,2,1,success,681,-1,150,150,182,500,3,0.00,1.96,4,1,0,0.1299,1.98,1130,0,1.377,0.00,0.200,1.00,0.00,
4,lift,envelope,0.600,0.00,0,1,success,680,-1,150,150,181,500,3,0.00,5.89,3,1,0,0.1057,1.22,845,0,1.367,0.00,0.200,1.00,0.00,
5,lift,envelope,0.600,0.00,1,1,success,681,-1,150,150,182,500,3,0.00,5.89,3,1,0,0.1084,1.18,879,0,1.377,0.00,0.200,1.00,0.00,
6,lift,envelope,0.600,0.00,2,1,success,680,-1,150,150,181,500,3,0.00,5.89,2,1,0,0.1066,1.16,754,0,1.313,0.00,0.200,1.00,0.00,
7,lift,envelope,1.500,0.00,0,0,drop,218,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0001,1.08,715,0,3.508,0.00,0.000,0.00,-0.20,
8,lift,envelope,1.500,0.00,1,0,drop,255,-1,150,150,197,0,0,0.00,14.72,0,0,0,0.0002,1.06,928,0,2.650,0.00,0.176,0.00,-0.20,
9,lift,envelope,1.500,0.00,2,0,drop,210,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0003,1.22,740,0,3.633,0.00,0.000,0.00,-0.20,
DONE
