trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,0.25,0,1,success,687,-1,151,151,188,500,3,2.19,5.89,3,1,0,0.1098,1.41,706,0,1.349,0.00,0.200,1.00,0.00,
2,lift,envelope,0.600,0.25,1,1,success,681,-1,150,150,182,500,3,2.12,5.89,2,1,0,0.1021,2.89,754,0,1.292,0.00,0.200,1.00,0.00,
3,lift,envelope,0.600,0.25,2,1,success,681,-1,150,150,182,500,3,1.81,5.89,3,1,0,0.1067,0.87,837,0,1.387,0.00,0.200,1.00,0.00,
4,lift,envelope,0.600,0.50,0,0,drop,220,-1,150,150,192,0,0,0.00,5.89,0,0,0,0.0001,1.46,719,0,3.477,0.00,0.036,0.00,-0.20,
5,lift,envelope,0.600,0.50,1,0,drop,206,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0003,0.82,644,0,0.123,0.00,0.000,0.00,-0.20,
6,lift,envelope,0.600,0.50,2,1,success,684,-1,150,150,185,500,3,4.37,5.89,2,1,0,0.1066,1.76,873,0,1.184,0.00,0.200,1.00,0.00,
7,lift,envelope,0.600,0.75,0,0,drop,322,-1,150,150,188,0,1,4.86,5.89,0,0,1,0.0000,1.25,696,0,2.421,0.00,0.200,0.00,-0.20,
8,lift,envelope,0.600,0.75,1,0,drop,256,-1,150,150,188,0,0,0.00,5.89,0,0,0,0.0002,1.53,682,0,3.019,0.00,0.200,0.00,-0.20,
9,lift,envelope,0.600,0.75,2,0,drop,416,-1,150,150,182,0,1,6.44,5.89,0,0,0,0.0008,1.22,856,0,2.007,0.00,0.200,0.00,-0.20,
10,lift,envelope,0.600,1.00,0,0,drop,417,-1,150,150,184,0,1,6.49,5.89,0,0,0,0.0002,1.58,963,0,1.939,0.00,0.200,0.00,-0.20,
11,lift,envelope,0.600,1.00,1,0,drop,207,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0017,1.47,754,0,3.684,0.00,0.000,0.00,-0.20,
12,lift,envelope,0.600,1.00,2,0,drop,630,-1,150,150,182,0,3,6.38,5.89,0,0,0,0.0001,1.09,936,0,1.303,0.00,0.200,0.00,-0.20,
13,lift,envelope,0.600,1.25,0,0,drop,396,-1,150,150,182,0,1,6.85,5.89,0,0,0,0.0004,2.86,771,0,2.098,0.00,0.200,0.00,-0.20,
14,lift,envelope,0.600,1.25,1,0,drop,225,-1,150,150,184,0,1,9.28,5.89,0,0,0,0.0005,1.21,997,0,3.433,0.00,0.132,0.00,-0.20,
15,lift,envelope,0.600,1.25,2,0,drop,306,-1,150,150,182,0,1,8.20,5.89,0,0,0,0.0001,1.33,888,0,2.609,0.00,0.200,0.00,-0.20,
16,lift,envelope,0.600,1.50,0,0,drop,332,-1,150,150,184,0,1,10.68,5.89,0,0,0,0.0002,1.41,922,0,2.376,0.00,0.200,0.00,-0.20,
17,lift,envelope,0.600,1.50,1,0,drop,260,-1,150,150,182,0,2,10.84,5.89,0,0,0,0.0001,1.32,840,0,2.999,0.00,0.200,0.00,-0.20,
18,lift,envelope,0.600,1.50,2,0,drop,314,-1,150,150,182,0,1,9.97,5.89,0,0,0,0.0004,1.35,805,0,2.542,0.00,0.200,0.00,-0.20,
DONE
