trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.200,0.00,0,0,drop,180,-1,151,151,-1,0,0,0.00,1.96,0,0,0,0.0003,4.34,4005,0,0.277,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.321; indexMiddle k=0.949 lim=1.50 peak=0.135; indexEnd k=0.316 lim=0.70 peak=0.030; middleBase k=1.732 lim=2.50 peak=0.658; middleMiddle k=0.949 lim=1.50 peak=0.451; middleEnd k=0.316 lim=0.70 peak=0.047; ringBase k=1.732 lim=2.50 peak=0.277; ringMiddle k=0.949 lim=1.50 peak=0.180; ringEnd k=0.316 lim=0.70 peak=0.038; pinkyBase k=1.732 lim=2.50 peak=0.210; pinkyMiddle k=0.949 lim=1.50 peak=0.123; pinkyEnd k=0.316 lim=0.70 peak=0.016; thumbBase k=3.873 lim=4.00 peak=0.428; thumbEnd k=0.949 lim=1.50 peak=0.040; wristFlex k=3.16 lim=6.0 peak=0.501; wristPron k=3.16 lim=6.0 peak=0.304;
2,lift,envelope,0.200,0.00,1,0,drop,186,-1,150,150,-1,0,0,0.00,1.96,0,0,0,0.0001,4.89,4954,0,0.220,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.339; indexMiddle k=0.949 lim=1.50 peak=0.149; indexEnd k=0.316 lim=0.70 peak=0.039; middleBase k=1.732 lim=2.50 peak=0.681; middleMiddle k=0.949 lim=1.50 peak=0.436; middleEnd k=0.316 lim=0.70 peak=0.059; ringBase k=1.732 lim=2.50 peak=0.317; ringMiddle k=0.949 lim=1.50 peak=0.151; ringEnd k=0.316 lim=0.70 peak=0.045; pinkyBase k=1.732 lim=2.50 peak=0.205; pinkyMiddle k=0.949 lim=1.50 peak=0.115; pinkyEnd k=0.316 lim=0.70 peak=0.017; thumbBase k=3.873 lim=4.00 peak=0.375; thumbEnd k=0.949 lim=1.50 peak=0.021; wristFlex k=3.16 lim=6.0 peak=0.747; wristPron k=3.16 lim=6.0 peak=0.130;
3,lift,envelope,0.200,0.00,2,0,drop,177,-1,150,150,-1,0,0,0.00,1.96,0,0,0,0.0002,6.39,3930,0,0.262,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.504; indexMiddle k=0.949 lim=1.50 peak=0.181; indexEnd k=0.316 lim=0.70 peak=0.056; middleBase k=1.732 lim=2.50 peak=0.777; middleMiddle k=0.949 lim=1.50 peak=0.287; middleEnd k=0.316 lim=0.70 peak=0.079; ringBase k=1.732 lim=2.50 peak=0.206; ringMiddle k=0.949 lim=1.50 peak=0.161; ringEnd k=0.316 lim=0.70 peak=0.047; pinkyBase k=1.732 lim=2.50 peak=0.215; pinkyMiddle k=0.949 lim=1.50 peak=0.136; pinkyEnd k=0.316 lim=0.70 peak=0.018; thumbBase k=3.873 lim=4.00 peak=0.466; thumbEnd k=0.949 lim=1.50 peak=0.045; wristFlex k=3.16 lim=6.0 peak=0.443; wristPron k=3.16 lim=6.0 peak=0.237;
4,lift,envelope,0.600,0.00,0,0,drop,183,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0001,8.53,3394,0,0.264,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.377; indexMiddle k=0.949 lim=1.50 peak=0.200; indexEnd k=0.316 lim=0.70 peak=0.038; middleBase k=1.732 lim=2.50 peak=0.846; middleMiddle k=0.949 lim=1.50 peak=0.336; middleEnd k=0.316 lim=0.70 peak=0.122; ringBase k=1.732 lim=2.50 peak=0.259; ringMiddle k=0.949 lim=1.50 peak=0.168; ringEnd k=0.316 lim=0.70 peak=0.033; pinkyBase k=1.732 lim=2.50 peak=0.230; pinkyMiddle k=0.949 lim=1.50 peak=0.090; pinkyEnd k=0.316 lim=0.70 peak=0.023; thumbBase k=3.873 lim=4.00 peak=0.384; thumbEnd k=0.949 lim=1.50 peak=0.031; wristFlex k=3.16 lim=6.0 peak=0.613; wristPron k=3.16 lim=6.0 peak=0.201;
5,lift,envelope,0.600,0.00,1,0,drop,198,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0001,5.51,2178,0,0.257,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.589; indexMiddle k=0.949 lim=1.50 peak=0.187; indexEnd k=0.316 lim=0.70 peak=0.038; middleBase k=1.732 lim=2.50 peak=0.829; middleMiddle k=0.949 lim=1.50 peak=0.343; middleEnd k=0.316 lim=0.70 peak=0.090; ringBase k=1.732 lim=2.50 peak=0.269; ringMiddle k=0.949 lim=1.50 peak=0.176; ringEnd k=0.316 lim=0.70 peak=0.036; pinkyBase k=1.732 lim=2.50 peak=0.230; pinkyMiddle k=0.949 lim=1.50 peak=0.094; pinkyEnd k=0.316 lim=0.70 peak=0.024; thumbBase k=3.873 lim=4.00 peak=0.467; thumbEnd k=0.949 lim=1.50 peak=0.023; wristFlex k=3.16 lim=6.0 peak=0.437; wristPron k=3.16 lim=6.0 peak=0.241;
6,lift,envelope,0.600,0.00,2,0,drop,191,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0001,5.27,3546,0,0.230,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.461; indexMiddle k=0.949 lim=1.50 peak=0.168; indexEnd k=0.316 lim=0.70 peak=0.025; middleBase k=1.732 lim=2.50 peak=0.808; middleMiddle k=0.949 lim=1.50 peak=0.318; middleEnd k=0.316 lim=0.70 peak=0.085; ringBase k=1.732 lim=2.50 peak=0.221; ringMiddle k=0.949 lim=1.50 peak=0.158; ringEnd k=0.316 lim=0.70 peak=0.040; pinkyBase k=1.732 lim=2.50 peak=0.200; pinkyMiddle k=0.949 lim=1.50 peak=0.129; pinkyEnd k=0.316 lim=0.70 peak=0.016; thumbBase k=3.873 lim=4.00 peak=0.414; thumbEnd k=0.949 lim=1.50 peak=0.034; wristFlex k=3.16 lim=6.0 peak=0.578; wristPron k=3.16 lim=6.0 peak=0.209;
7,lift,envelope,1.500,0.00,0,0,drop,231,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0000,5.79,4006,0,0.189,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.427; indexMiddle k=0.949 lim=1.50 peak=0.194; indexEnd k=0.316 lim=0.70 peak=0.057; middleBase k=1.732 lim=2.50 peak=0.970; middleMiddle k=0.949 lim=1.50 peak=0.389; middleEnd k=0.316 lim=0.70 peak=0.082; ringBase k=1.732 lim=2.50 peak=0.221; ringMiddle k=0.949 lim=1.50 peak=0.157; ringEnd k=0.316 lim=0.70 peak=0.044; pinkyBase k=1.732 lim=2.50 peak=0.207; pinkyMiddle k=0.949 lim=1.50 peak=0.126; pinkyEnd k=0.316 lim=0.70 peak=0.016; thumbBase k=3.873 lim=4.00 peak=0.473; thumbEnd k=0.949 lim=1.50 peak=0.084; wristFlex k=3.16 lim=6.0 peak=0.452; wristPron k=3.16 lim=6.0 peak=0.252;
8,lift,envelope,1.500,0.00,1,0,drop,213,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0000,5.26,5090,0,0.217,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.393; indexMiddle k=0.949 lim=1.50 peak=0.129; indexEnd k=0.316 lim=0.70 peak=0.034; middleBase k=1.732 lim=2.50 peak=0.809; middleMiddle k=0.949 lim=1.50 peak=0.434; middleEnd k=0.316 lim=0.70 peak=0.068; ringBase k=1.732 lim=2.50 peak=0.236; ringMiddle k=0.949 lim=1.50 peak=0.159; ringEnd k=0.316 lim=0.70 peak=0.047; pinkyBase k=1.732 lim=2.50 peak=0.232; pinkyMiddle k=0.949 lim=1.50 peak=0.112; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.453; thumbEnd k=0.949 lim=1.50 peak=0.026; wristFlex k=3.16 lim=6.0 peak=0.444; wristPron k=3.16 lim=6.0 peak=0.288;
9,lift,envelope,1.500,0.00,2,0,drop,232,-1,150,150,-1,0,0,0.00,14.72,1,0,0,0.0000,4.99,3869,0,0.090,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.299; indexMiddle k=0.949 lim=1.50 peak=0.129; indexEnd k=0.316 lim=0.70 peak=0.044; middleBase k=1.732 lim=2.50 peak=0.677; middleMiddle k=0.949 lim=1.50 peak=0.428; middleEnd k=0.316 lim=0.70 peak=0.043; ringBase k=1.732 lim=2.50 peak=0.271; ringMiddle k=0.949 lim=1.50 peak=0.163; ringEnd k=0.316 lim=0.70 peak=0.032; pinkyBase k=1.732 lim=2.50 peak=0.184; pinkyMiddle k=0.949 lim=1.50 peak=0.112; pinkyEnd k=0.316 lim=0.70 peak=0.019; thumbBase k=3.873 lim=4.00 peak=0.213; thumbEnd k=0.949 lim=1.50 peak=0.030; wristFlex k=3.16 lim=6.0 peak=0.752; wristPron k=3.16 lim=6.0 peak=0.188;
DONE
