trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.200,0.00,0,0,drop,199,-1,151,151,-1,0,0,0.00,1.96,0,0,0,0.0002,7.18,2885,0,0.030,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.652; indexMiddle k=0.949 lim=1.50 peak=0.203; indexEnd k=0.316 lim=0.70 peak=0.014; middleBase k=1.732 lim=2.50 peak=0.406; middleMiddle k=0.949 lim=1.50 peak=0.180; middleEnd k=0.316 lim=0.70 peak=0.098; ringBase k=1.732 lim=2.50 peak=0.080; ringMiddle k=0.949 lim=1.50 peak=0.059; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.003; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.970; thumbEnd k=0.949 lim=1.50 peak=0.471; wristFlex k=3.16 lim=6.0 peak=0.848; wristPron k=3.16 lim=6.0 peak=0.393;
2,lift,envelope,0.200,0.00,1,0,drop,185,-1,150,150,-1,0,0,0.00,1.96,0,0,0,0.0001,6.43,938,0,0.020,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.328; indexMiddle k=0.949 lim=1.50 peak=0.135; indexEnd k=0.316 lim=0.70 peak=0.011; middleBase k=1.732 lim=2.50 peak=0.775; middleMiddle k=0.949 lim=1.50 peak=0.539; middleEnd k=0.316 lim=0.70 peak=0.062; ringBase k=1.732 lim=2.50 peak=0.240; ringMiddle k=0.949 lim=1.50 peak=0.164; ringEnd k=0.316 lim=0.70 peak=0.030; pinkyBase k=1.732 lim=2.50 peak=0.021; pinkyMiddle k=0.949 lim=1.50 peak=0.014; pinkyEnd k=0.316 lim=0.70 peak=0.002; thumbBase k=3.873 lim=4.00 peak=0.285; thumbEnd k=0.949 lim=1.50 peak=0.241; wristFlex k=3.16 lim=6.0 peak=0.241; wristPron k=3.16 lim=6.0 peak=0.218;
3,lift,envelope,0.200,0.00,2,0,drop,185,-1,150,150,-1,0,0,0.00,1.96,0,0,0,0.0002,3.99,1793,0,0.028,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.378; indexMiddle k=0.949 lim=1.50 peak=0.134; indexEnd k=0.316 lim=0.70 peak=0.014; middleBase k=1.732 lim=2.50 peak=0.736; middleMiddle k=0.949 lim=1.50 peak=0.557; middleEnd k=0.316 lim=0.70 peak=0.065; ringBase k=1.732 lim=2.50 peak=0.156; ringMiddle k=0.949 lim=1.50 peak=0.147; ringEnd k=0.316 lim=0.70 peak=0.044; pinkyBase k=1.732 lim=2.50 peak=0.034; pinkyMiddle k=0.949 lim=1.50 peak=0.024; pinkyEnd k=0.316 lim=0.70 peak=0.004; thumbBase k=3.873 lim=4.00 peak=0.412; thumbEnd k=0.949 lim=1.50 peak=0.242; wristFlex k=3.16 lim=6.0 peak=0.287; wristPron k=3.16 lim=6.0 peak=0.234;
4,lift,envelope,0.600,0.00,0,0,drop,198,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0002,5.28,1783,0,0.025,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.360; indexMiddle k=0.949 lim=1.50 peak=0.134; indexEnd k=0.316 lim=0.70 peak=0.010; middleBase k=1.732 lim=2.50 peak=0.759; middleMiddle k=0.949 lim=1.50 peak=0.532; middleEnd k=0.316 lim=0.70 peak=0.065; ringBase k=1.732 lim=2.50 peak=0.204; ringMiddle k=0.949 lim=1.50 peak=0.158; ringEnd k=0.316 lim=0.70 peak=0.038; pinkyBase k=1.732 lim=2.50 peak=0.022; pinkyMiddle k=0.949 lim=1.50 peak=0.015; pinkyEnd k=0.316 lim=0.70 peak=0.002; thumbBase k=3.873 lim=4.00 peak=0.303; thumbEnd k=0.949 lim=1.50 peak=0.233; wristFlex k=3.16 lim=6.0 peak=0.294; wristPron k=3.16 lim=6.0 peak=0.149;
5,lift,envelope,0.600,0.00,1,0,drop,194,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0001,6.91,3207,0,0.049,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.394; indexMiddle k=0.949 lim=1.50 peak=0.155; indexEnd k=0.316 lim=0.70 peak=0.031; middleBase k=1.732 lim=2.50 peak=0.752; middleMiddle k=0.949 lim=1.50 peak=0.539; middleEnd k=0.316 lim=0.70 peak=0.066; ringBase k=1.732 lim=2.50 peak=0.194; ringMiddle k=0.949 lim=1.50 peak=0.153; ringEnd k=0.316 lim=0.70 peak=0.054; pinkyBase k=1.732 lim=2.50 peak=0.073; pinkyMiddle k=0.949 lim=1.50 peak=0.045; pinkyEnd k=0.316 lim=0.70 peak=0.012; thumbBase k=3.873 lim=4.00 peak=0.385; thumbEnd k=0.949 lim=1.50 peak=0.250; wristFlex k=3.16 lim=6.0 peak=0.405; wristPron k=3.16 lim=6.0 peak=0.193;
6,lift,envelope,0.600,0.00,2,0,drop,192,-1,150,150,-1,0,0,0.00,5.89,0,0,0,0.0002,6.17,1226,0,0.008,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.671; indexMiddle k=0.949 lim=1.50 peak=0.206; indexEnd k=0.316 lim=0.70 peak=0.007; middleBase k=1.732 lim=2.50 peak=0.365; middleMiddle k=0.949 lim=1.50 peak=0.225; middleEnd k=0.316 lim=0.70 peak=0.121; ringBase k=1.732 lim=2.50 peak=0.133; ringMiddle k=0.949 lim=1.50 peak=0.098; ringEnd k=0.316 lim=0.70 peak=0.023; pinkyBase k=1.732 lim=2.50 peak=0.004; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.858; thumbEnd k=0.949 lim=1.50 peak=0.404; wristFlex k=3.16 lim=6.0 peak=0.678; wristPron k=3.16 lim=6.0 peak=0.411;
7,lift,envelope,1.500,0.00,0,0,drop,218,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0001,6.85,1578,0,0.031,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.344; indexMiddle k=0.949 lim=1.50 peak=0.133; indexEnd k=0.316 lim=0.70 peak=0.018; middleBase k=1.732 lim=2.50 peak=0.821; middleMiddle k=0.949 lim=1.50 peak=0.523; middleEnd k=0.316 lim=0.70 peak=0.059; ringBase k=1.732 lim=2.50 peak=0.196; ringMiddle k=0.949 lim=1.50 peak=0.118; ringEnd k=0.316 lim=0.70 peak=0.052; pinkyBase k=1.732 lim=2.50 peak=0.016; pinkyMiddle k=0.949 lim=1.50 peak=0.011; pinkyEnd k=0.316 lim=0.70 peak=0.001; thumbBase k=3.873 lim=4.00 peak=0.401; thumbEnd k=0.949 lim=1.50 peak=0.230; wristFlex k=3.16 lim=6.0 peak=0.476; wristPron k=3.16 lim=6.0 peak=0.227;
8,lift,envelope,1.500,0.00,1,0,drop,212,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0002,8.07,2551,0,0.032,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.364; indexMiddle k=0.949 lim=1.50 peak=0.161; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.742; middleMiddle k=0.949 lim=1.50 peak=0.544; middleEnd k=0.316 lim=0.70 peak=0.072; ringBase k=1.732 lim=2.50 peak=0.206; ringMiddle k=0.949 lim=1.50 peak=0.146; ringEnd k=0.316 lim=0.70 peak=0.043; pinkyBase k=1.732 lim=2.50 peak=0.030; pinkyMiddle k=0.949 lim=1.50 peak=0.022; pinkyEnd k=0.316 lim=0.70 peak=0.004; thumbBase k=3.873 lim=4.00 peak=0.414; thumbEnd k=0.949 lim=1.50 peak=0.215; wristFlex k=3.16 lim=6.0 peak=0.467; wristPron k=3.16 lim=6.0 peak=0.195;
9,lift,envelope,1.500,0.00,2,0,drop,243,-1,150,150,-1,0,0,0.00,14.72,0,0,0,0.0002,4.12,2607,0,0.019,0.00,0.000,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.585; indexMiddle k=0.949 lim=1.50 peak=0.187; indexEnd k=0.316 lim=0.70 peak=0.002; middleBase k=1.732 lim=2.50 peak=0.285; middleMiddle k=0.949 lim=1.50 peak=0.145; middleEnd k=0.316 lim=0.70 peak=0.095; ringBase k=1.732 lim=2.50 peak=0.084; ringMiddle k=0.949 lim=1.50 peak=0.058; ringEnd k=0.316 lim=0.70 peak=0.016; pinkyBase k=1.732 lim=2.50 peak=0.004; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=1.046; thumbEnd k=0.949 lim=1.50 peak=0.447; wristFlex k=3.16 lim=6.0 peak=0.877; wristPron k=3.16 lim=6.0 peak=0.480;
DONE
