trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,0.25,0,1,success,633,100,99,99,134,500,3,2.19,5.89,9,1,0,0.0811,14.71,990,0,0.973,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.216; indexMiddle k=0.949 lim=1.50 peak=0.090; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.032; middleMiddle k=0.949 lim=1.50 peak=0.026; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.060; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.166; pinkyMiddle k=0.949 lim=1.50 peak=0.065; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.739; thumbEnd k=0.949 lim=1.50 peak=0.039; wristFlex k=3.16 lim=6.0 peak=0.160; wristPron k=3.16 lim=6.0 peak=0.361; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.1 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.9 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.8 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.6 preload->-43.6 angle=-29.6 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.4 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-27.0 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.6 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.2 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
2,lift,envelope,0.600,0.25,1,1,success,630,99,98,98,131,500,3,2.12,5.89,10,1,0,0.0816,10.31,1265,0,1.096,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.217; indexMiddle k=0.949 lim=1.50 peak=0.078; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.034; middleMiddle k=0.949 lim=1.50 peak=0.027; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.063; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.169; pinkyMiddle k=0.949 lim=1.50 peak=0.061; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.733; thumbEnd k=0.949 lim=1.50 peak=0.043; wristFlex k=3.16 lim=6.0 peak=0.159; wristPron k=3.16 lim=6.0 peak=0.376; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.2 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.6 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-30.0 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.5 preload->-43.5 angle=-29.9 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.2 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-47.0 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-23.8 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.4 touch=1; thumbEnd stop=44.0 preload->56.0 angle=48.8 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(117, 36, -38) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
3,lift,envelope,0.600,0.25,2,1,success,630,99,98,98,131,500,3,1.81,5.89,10,1,0,0.0823,10.64,1003,0,1.131,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.216; indexMiddle k=0.949 lim=1.50 peak=0.082; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.031; middleMiddle k=0.949 lim=1.50 peak=0.027; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.064; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.063; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.037; wristFlex k=3.16 lim=6.0 peak=0.224; wristPron k=3.16 lim=6.0 peak=0.359; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
4,lift,envelope,0.600,0.50,0,1,success,630,99,98,98,131,500,3,3.94,5.89,10,1,0,0.0821,10.76,1019,0,1.141,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.220; indexMiddle k=0.949 lim=1.50 peak=0.087; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.033; middleMiddle k=0.949 lim=1.50 peak=0.027; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.062; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.064; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.041; wristFlex k=3.16 lim=6.0 peak=0.166; wristPron k=3.16 lim=6.0 peak=0.367; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
5,lift,envelope,0.600,0.50,1,1,success,630,99,98,98,131,500,3,3.72,5.89,10,1,0,0.0823,10.05,1004,0,1.137,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.216; indexMiddle k=0.949 lim=1.50 peak=0.077; indexEnd k=0.316 lim=0.70 peak=0.024; middleBase k=1.732 lim=2.50 peak=0.039; middleMiddle k=0.949 lim=1.50 peak=0.029; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.062; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.063; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.041; wristFlex k=3.16 lim=6.0 peak=0.285; wristPron k=3.16 lim=6.0 peak=0.357; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
6,lift,envelope,0.600,0.50,2,1,success,630,99,98,98,131,500,3,4.37,5.89,10,1,0,0.0818,11.09,1002,0,1.144,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.216; indexMiddle k=0.949 lim=1.50 peak=0.085; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.036; middleMiddle k=0.949 lim=1.50 peak=0.028; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.063; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.064; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.038; wristFlex k=3.16 lim=6.0 peak=0.317; wristPron k=3.16 lim=6.0 peak=0.398; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
7,lift,envelope,0.600,0.75,0,1,success,631,99,98,98,132,500,3,5.86,5.89,10,1,0,0.0805,12.50,1018,0,1.048,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.255; indexMiddle k=0.949 lim=1.50 peak=0.095; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.052; middleMiddle k=0.949 lim=1.50 peak=0.028; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.083; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.065; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.038; wristFlex k=3.16 lim=6.0 peak=0.555; wristPron k=3.16 lim=6.0 peak=0.482; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
8,lift,envelope,0.600,0.75,1,1,success,629,99,98,98,130,500,3,5.87,5.89,8,1,0,0.0819,9.78,1019,0,0.953,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.228; indexMiddle k=0.949 lim=1.50 peak=0.092; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.033; middleMiddle k=0.949 lim=1.50 peak=0.027; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.069; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.062; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.037; wristFlex k=3.16 lim=6.0 peak=0.338; wristPron k=3.16 lim=6.0 peak=0.368; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
9,lift,envelope,0.600,0.75,2,1,success,630,99,98,98,131,500,3,6.44,5.89,10,1,0,0.0816,10.36,1001,0,1.136,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.237; indexMiddle k=0.949 lim=1.50 peak=0.086; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.036; middleMiddle k=0.949 lim=1.50 peak=0.028; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.063; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.063; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.038; wristFlex k=3.16 lim=6.0 peak=0.597; wristPron k=3.16 lim=6.0 peak=0.434; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
10,lift,envelope,0.600,1.00,0,1,success,630,99,98,98,131,500,3,6.49,5.89,10,1,0,0.0818,10.55,1004,0,1.126,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.236; indexMiddle k=0.949 lim=1.50 peak=0.082; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.031; middleMiddle k=0.949 lim=1.50 peak=0.026; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.061; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.063; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.042; wristFlex k=3.16 lim=6.0 peak=0.162; wristPron k=3.16 lim=6.0 peak=0.549; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
11,lift,envelope,0.600,1.00,1,1,success,630,99,98,98,131,500,3,8.49,5.89,9,1,0,0.0822,10.43,1003,0,1.015,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.246; indexMiddle k=0.949 lim=1.50 peak=0.089; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.042; middleMiddle k=0.949 lim=1.50 peak=0.028; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.063; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.167; pinkyMiddle k=0.949 lim=1.50 peak=0.063; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.738; thumbEnd k=0.949 lim=1.50 peak=0.038; wristFlex k=3.16 lim=6.0 peak=0.433; wristPron k=3.16 lim=6.0 peak=0.734; controller: indexBase stop=-55.6 preload->-67.6 angle=-55.1 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.2 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-30.8 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.9 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.7 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-37.0 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.5 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.7 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
