trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,envelope,0.600,2.00,0,1,success,633,100,99,99,134,500,3,17.50,5.89,8,1,0,0.0820,18.82,1041,0,0.935,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.219; indexMiddle k=0.949 lim=1.50 peak=0.095; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.039; middleMiddle k=0.949 lim=1.50 peak=0.029; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.088; ringMiddle k=0.949 lim=1.50 peak=0.058; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.210; pinkyMiddle k=0.949 lim=1.50 peak=0.065; pinkyEnd k=0.316 lim=0.70 peak=0.030; thumbBase k=3.873 lim=4.00 peak=0.791; thumbEnd k=0.949 lim=1.50 peak=0.040; wristFlex k=3.16 lim=6.0 peak=0.903; wristPron k=3.16 lim=6.0 peak=0.532; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
2,lift,envelope,0.600,2.00,1,1,success,630,99,98,98,131,500,3,16.99,5.89,8,1,0,0.0800,12.24,1044,0,1.038,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.318; indexMiddle k=0.949 lim=1.50 peak=0.124; indexEnd k=0.316 lim=0.70 peak=0.024; middleBase k=1.732 lim=2.50 peak=0.042; middleMiddle k=0.949 lim=1.50 peak=0.031; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.071; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.200; pinkyMiddle k=0.949 lim=1.50 peak=0.062; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.733; thumbEnd k=0.949 lim=1.50 peak=0.055; wristFlex k=3.16 lim=6.0 peak=0.799; wristPron k=3.16 lim=6.0 peak=0.740; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
3,lift,envelope,0.600,2.00,2,1,success,630,99,98,98,131,500,3,14.51,5.89,8,1,0,0.0824,11.28,1026,0,1.040,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.296; indexMiddle k=0.949 lim=1.50 peak=0.101; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.041; middleMiddle k=0.949 lim=1.50 peak=0.031; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.077; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.064; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.733; thumbEnd k=0.949 lim=1.50 peak=0.047; wristFlex k=3.16 lim=6.0 peak=0.835; wristPron k=3.16 lim=6.0 peak=0.532; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
4,lift,envelope,0.600,2.50,0,1,success,630,99,98,98,131,500,3,19.70,5.89,10,1,0,0.0819,10.98,1028,0,1.127,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.295; indexMiddle k=0.949 lim=1.50 peak=0.098; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.040; middleMiddle k=0.949 lim=1.50 peak=0.033; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.069; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.068; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.775; thumbEnd k=0.949 lim=1.50 peak=0.052; wristFlex k=3.16 lim=6.0 peak=0.969; wristPron k=3.16 lim=6.0 peak=0.430; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
5,lift,envelope,0.600,2.50,1,1,success,630,99,98,98,131,500,3,18.61,5.89,8,1,0,0.0814,10.78,1041,0,1.005,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.298; indexMiddle k=0.949 lim=1.50 peak=0.117; indexEnd k=0.316 lim=0.70 peak=0.024; middleBase k=1.732 lim=2.50 peak=0.047; middleMiddle k=0.949 lim=1.50 peak=0.035; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.081; ringMiddle k=0.949 lim=1.50 peak=0.060; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.065; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.756; thumbEnd k=0.949 lim=1.50 peak=0.057; wristFlex k=3.16 lim=6.0 peak=1.194; wristPron k=3.16 lim=6.0 peak=0.724; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
6,lift,envelope,0.600,2.50,2,1,success,630,99,98,98,131,500,3,21.83,5.89,8,1,0,0.0817,15.22,1030,0,1.037,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.287; indexMiddle k=0.949 lim=1.50 peak=0.093; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.039; middleMiddle k=0.949 lim=1.50 peak=0.030; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.068; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.062; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.893; thumbEnd k=0.949 lim=1.50 peak=0.043; wristFlex k=3.16 lim=6.0 peak=1.196; wristPron k=3.16 lim=6.0 peak=0.586; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
7,lift,envelope,0.600,3.00,0,1,success,630,99,98,98,131,500,3,23.42,5.89,8,1,0,0.0802,10.67,1025,0,0.965,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.384; indexMiddle k=0.949 lim=1.50 peak=0.108; indexEnd k=0.316 lim=0.70 peak=0.024; middleBase k=1.732 lim=2.50 peak=0.063; middleMiddle k=0.949 lim=1.50 peak=0.040; middleEnd k=0.316 lim=0.70 peak=0.013; ringBase k=1.732 lim=2.50 peak=0.086; ringMiddle k=0.949 lim=1.50 peak=0.064; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.067; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.999; thumbEnd k=0.949 lim=1.50 peak=0.065; wristFlex k=3.16 lim=6.0 peak=1.743; wristPron k=3.16 lim=6.0 peak=0.733; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
8,lift,envelope,0.600,3.00,1,1,success,630,99,98,98,131,500,3,23.47,5.89,8,1,0,0.0820,10.80,1030,0,1.013,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.232; indexMiddle k=0.949 lim=1.50 peak=0.090; indexEnd k=0.316 lim=0.70 peak=0.024; middleBase k=1.732 lim=2.50 peak=0.040; middleMiddle k=0.949 lim=1.50 peak=0.030; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.079; ringMiddle k=0.949 lim=1.50 peak=0.054; ringEnd k=0.316 lim=0.70 peak=0.019; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.062; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.775; thumbEnd k=0.949 lim=1.50 peak=0.049; wristFlex k=3.16 lim=6.0 peak=1.040; wristPron k=3.16 lim=6.0 peak=0.492; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
9,lift,envelope,0.600,3.00,2,1,success,631,99,98,98,132,500,3,25.74,5.89,8,1,0,0.0811,10.16,1042,0,1.051,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.413; indexMiddle k=0.949 lim=1.50 peak=0.126; indexEnd k=0.316 lim=0.70 peak=0.025; middleBase k=1.732 lim=2.50 peak=0.066; middleMiddle k=0.949 lim=1.50 peak=0.061; middleEnd k=0.316 lim=0.70 peak=0.019; ringBase k=1.732 lim=2.50 peak=0.094; ringMiddle k=0.949 lim=1.50 peak=0.083; ringEnd k=0.316 lim=0.70 peak=0.027; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.070; pinkyEnd k=0.316 lim=0.70 peak=0.022; thumbBase k=3.873 lim=4.00 peak=0.737; thumbEnd k=0.949 lim=1.50 peak=0.063; wristFlex k=3.16 lim=6.0 peak=1.691; wristPron k=3.16 lim=6.0 peak=0.740; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
10,lift,envelope,0.600,4.00,0,1,success,630,99,98,98,131,500,3,25.95,5.89,10,1,0,0.0828,12.49,1040,0,1.017,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.347; indexMiddle k=0.949 lim=1.50 peak=0.119; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.068; middleMiddle k=0.949 lim=1.50 peak=0.039; middleEnd k=0.316 lim=0.70 peak=0.012; ringBase k=1.732 lim=2.50 peak=0.105; ringMiddle k=0.949 lim=1.50 peak=0.059; ringEnd k=0.316 lim=0.70 peak=0.020; pinkyBase k=1.732 lim=2.50 peak=0.222; pinkyMiddle k=0.949 lim=1.50 peak=0.072; pinkyEnd k=0.316 lim=0.70 peak=0.020; thumbBase k=3.873 lim=4.00 peak=0.733; thumbEnd k=0.949 lim=1.50 peak=0.056; wristFlex k=3.16 lim=6.0 peak=0.741; wristPron k=3.16 lim=6.0 peak=1.023; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
11,lift,envelope,0.600,4.00,1,1,success,629,99,98,98,130,500,3,33.95,5.89,7,1,0,0.0841,13.09,1531,0,1.022,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.469; indexMiddle k=0.949 lim=1.50 peak=0.179; indexEnd k=0.316 lim=0.70 peak=0.033; middleBase k=1.732 lim=2.50 peak=0.250; middleMiddle k=0.949 lim=1.50 peak=0.122; middleEnd k=0.316 lim=0.70 peak=0.024; ringBase k=1.732 lim=2.50 peak=0.228; ringMiddle k=0.949 lim=1.50 peak=0.134; ringEnd k=0.316 lim=0.70 peak=0.030; pinkyBase k=1.732 lim=2.50 peak=0.168; pinkyMiddle k=0.949 lim=1.50 peak=0.083; pinkyEnd k=0.316 lim=0.70 peak=0.021; thumbBase k=3.873 lim=4.00 peak=0.895; thumbEnd k=0.949 lim=1.50 peak=0.111; wristFlex k=3.16 lim=6.0 peak=1.490; wristPron k=3.16 lim=6.0 peak=1.064; controller: indexBase stop=-55.6 preload->-67.6 angle=-56.3 touch=1; indexMiddle nocontact cap->-70.0 angle=-54.4 touch=0; indexEnd stop=-30.8 preload->-42.8 angle=-33.1 touch=1; middleBase nocontact cap->-60.0 angle=-58.8 touch=0; middleMiddle nocontact cap->-70.0 angle=-65.7 touch=0; middleEnd stop=-29.2 preload->-41.2 angle=-29.4 touch=1; ringBase nocontact cap->-60.0 angle=-56.6 touch=0; ringMiddle nocontact cap->-70.0 angle=-58.8 touch=0; ringEnd stop=-31.8 preload->-43.8 angle=-29.7 touch=1; pinkyBase stop=-39.6 preload->-51.6 angle=-36.8 touch=0; pinkyMiddle nocontact cap->-70.0 angle=-46.8 touch=0; pinkyEnd stop=-30.0 preload->-42.0 angle=-26.4 touch=1; thumbBase stop=-1.1 preload->10.9 angle=-1.5 touch=1; thumbEnd stop=44.0 preload->56.0 angle=49.1 touch=1; palm=yes contacts=7 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(113, 52, 42) indexEnd=(97, 61, 45) middleBase=(127, 37, 12) middleMiddle=(112, 58, 14) middleEnd=(93, 65, 16) ringBase=(123, 34, -12) ringMiddle=(112, 56, -10) ringEnd=(94, 66, -7) pinkyBase=(116, 19, -38) pinkyMiddle=(118, 36, -39) pinkyEnd=(108, 53, -37) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
