trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,pinch,0.600,0.25,0,1,success,632,-1,99,99,133,500,3,2.19,5.89,5,1,0,0.0836,6.36,774,0,0.932,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.229; indexMiddle k=0.949 lim=1.50 peak=0.083; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.002; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.003; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.039; wristFlex k=3.16 lim=6.0 peak=0.141; wristPron k=3.16 lim=6.0 peak=0.334; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
2,lift,pinch,0.600,0.25,1,1,success,630,-1,98,98,131,500,3,2.12,5.89,5,1,0,0.0829,6.56,773,0,0.912,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.225; indexMiddle k=0.949 lim=1.50 peak=0.084; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.004; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.003; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.037; wristFlex k=3.16 lim=6.0 peak=0.151; wristPron k=3.16 lim=6.0 peak=0.340; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.5 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
3,lift,pinch,0.600,0.25,2,1,success,630,-1,98,98,131,500,3,1.81,5.89,5,1,0,0.0841,6.54,774,0,0.911,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.217; indexMiddle k=0.949 lim=1.50 peak=0.081; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.004; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.003; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.036; wristFlex k=3.16 lim=6.0 peak=0.209; wristPron k=3.16 lim=6.0 peak=0.327; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
4,lift,pinch,0.600,0.50,0,1,success,630,-1,98,98,131,500,3,3.94,5.89,5,1,0,0.0838,6.47,774,0,0.936,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.243; indexMiddle k=0.949 lim=1.50 peak=0.085; indexEnd k=0.316 lim=0.70 peak=0.020; middleBase k=1.732 lim=2.50 peak=0.004; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.003; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.037; wristFlex k=3.16 lim=6.0 peak=0.143; wristPron k=3.16 lim=6.0 peak=0.351; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
5,lift,pinch,0.600,0.50,1,1,success,631,-1,98,98,132,500,3,3.72,5.89,5,1,0,0.0830,6.67,774,0,0.910,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.242; indexMiddle k=0.949 lim=1.50 peak=0.093; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.006; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.005; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.038; wristFlex k=3.16 lim=6.0 peak=0.281; wristPron k=3.16 lim=6.0 peak=0.342; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
6,lift,pinch,0.600,0.50,2,1,success,629,-1,98,98,130,500,3,4.37,5.89,5,1,0,0.0834,6.58,774,0,0.908,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.210; indexMiddle k=0.949 lim=1.50 peak=0.076; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.005; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.004; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.040; wristFlex k=3.16 lim=6.0 peak=0.303; wristPron k=3.16 lim=6.0 peak=0.363; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
7,lift,pinch,0.600,0.75,0,1,success,630,-1,98,98,131,500,3,5.86,5.89,5,1,0,0.0835,6.27,774,0,0.920,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.234; indexMiddle k=0.949 lim=1.50 peak=0.091; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.009; middleMiddle k=0.949 lim=1.50 peak=0.002; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.007; ringMiddle k=0.949 lim=1.50 peak=0.002; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.003; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.044; wristFlex k=3.16 lim=6.0 peak=0.549; wristPron k=3.16 lim=6.0 peak=0.466; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
8,lift,pinch,0.600,0.75,1,1,success,630,-1,98,98,131,500,3,5.87,5.89,5,1,0,0.0834,6.23,774,0,0.908,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.201; indexMiddle k=0.949 lim=1.50 peak=0.075; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.006; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.005; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.040; wristFlex k=3.16 lim=6.0 peak=0.331; wristPron k=3.16 lim=6.0 peak=0.333; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
9,lift,pinch,0.600,0.75,2,1,success,631,-1,98,98,132,500,3,6.44,5.89,5,1,0,0.0833,6.48,774,0,0.911,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.240; indexMiddle k=0.949 lim=1.50 peak=0.086; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.009; middleMiddle k=0.949 lim=1.50 peak=0.002; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.008; ringMiddle k=0.949 lim=1.50 peak=0.002; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.003; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.040; wristFlex k=3.16 lim=6.0 peak=0.577; wristPron k=3.16 lim=6.0 peak=0.413; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
10,lift,pinch,0.600,1.00,0,1,success,629,-1,98,98,130,500,3,6.49,5.89,5,1,0,0.0835,6.84,774,0,0.933,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.260; indexMiddle k=0.949 lim=1.50 peak=0.078; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.006; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.006; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.007; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.037; wristFlex k=3.16 lim=6.0 peak=0.167; wristPron k=3.16 lim=6.0 peak=0.538; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
11,lift,pinch,0.600,1.00,1,1,success,630,-1,98,98,131,500,3,8.49,5.89,5,1,0,0.0837,6.49,774,0,0.916,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.230; indexMiddle k=0.949 lim=1.50 peak=0.072; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.006; middleMiddle k=0.949 lim=1.50 peak=0.001; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.004; ringMiddle k=0.949 lim=1.50 peak=0.001; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.002; pinkyMiddle k=0.949 lim=1.50 peak=0.000; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.714; thumbEnd k=0.949 lim=1.50 peak=0.041; wristFlex k=3.16 lim=6.0 peak=0.436; wristPron k=3.16 lim=6.0 peak=0.735; controller: indexBase stop=-54.3 preload->-66.3 angle=-54.8 touch=1; indexMiddle nocontact cap->-70.0 angle=-57.0 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-29.1 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.6 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(98, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 2, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 68, 41) palmFace(out mm)=10
