trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,lift,pinch,0.600,2.00,0,1,success,632,-1,99,99,133,500,3,17.50,5.89,5,1,0,0.0847,6.92,754,0,0.900,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.256; indexMiddle k=0.949 lim=1.50 peak=0.087; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.014; middleMiddle k=0.949 lim=1.50 peak=0.003; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.012; ringMiddle k=0.949 lim=1.50 peak=0.003; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.005; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.742; thumbEnd k=0.949 lim=1.50 peak=0.042; wristFlex k=3.16 lim=6.0 peak=0.859; wristPron k=3.16 lim=6.0 peak=0.525; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.3 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
2,lift,pinch,0.600,2.00,1,1,success,630,-1,98,98,131,500,3,16.99,5.89,5,1,0,0.0801,10.90,754,0,0.923,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.376; indexMiddle k=0.949 lim=1.50 peak=0.132; indexEnd k=0.316 lim=0.70 peak=0.025; middleBase k=1.732 lim=2.50 peak=0.015; middleMiddle k=0.949 lim=1.50 peak=0.004; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.011; ringMiddle k=0.949 lim=1.50 peak=0.004; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.009; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.710; thumbEnd k=0.949 lim=1.50 peak=0.064; wristFlex k=3.16 lim=6.0 peak=0.806; wristPron k=3.16 lim=6.0 peak=0.705; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.3 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 11) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
3,lift,pinch,0.600,2.00,2,1,success,630,-1,98,98,131,500,3,14.51,5.89,5,1,0,0.0825,6.71,754,0,0.879,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.387; indexMiddle k=0.949 lim=1.50 peak=0.101; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.014; middleMiddle k=0.949 lim=1.50 peak=0.003; middleEnd k=0.316 lim=0.70 peak=0.000; ringBase k=1.732 lim=2.50 peak=0.011; ringMiddle k=0.949 lim=1.50 peak=0.003; ringEnd k=0.316 lim=0.70 peak=0.000; pinkyBase k=1.732 lim=2.50 peak=0.005; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.710; thumbEnd k=0.949 lim=1.50 peak=0.053; wristFlex k=3.16 lim=6.0 peak=0.817; wristPron k=3.16 lim=6.0 peak=0.509; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
4,lift,pinch,0.600,2.50,0,1,success,630,-1,98,98,131,500,3,19.70,5.89,5,1,0,0.0834,6.55,754,0,0.861,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.317; indexMiddle k=0.949 lim=1.50 peak=0.104; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.016; middleMiddle k=0.949 lim=1.50 peak=0.005; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.013; ringMiddle k=0.949 lim=1.50 peak=0.004; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.010; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.710; thumbEnd k=0.949 lim=1.50 peak=0.048; wristFlex k=3.16 lim=6.0 peak=0.926; wristPron k=3.16 lim=6.0 peak=0.388; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
5,lift,pinch,0.600,2.50,1,1,success,631,-1,98,98,132,500,3,18.61,5.89,5,1,0,0.0778,7.94,754,0,0.909,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.386; indexMiddle k=0.949 lim=1.50 peak=0.143; indexEnd k=0.316 lim=0.70 peak=0.021; middleBase k=1.732 lim=2.50 peak=0.019; middleMiddle k=0.949 lim=1.50 peak=0.005; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.015; ringMiddle k=0.949 lim=1.50 peak=0.004; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.006; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.710; thumbEnd k=0.949 lim=1.50 peak=0.071; wristFlex k=3.16 lim=6.0 peak=1.165; wristPron k=3.16 lim=6.0 peak=0.717; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
6,lift,pinch,0.600,2.50,2,1,success,630,-1,98,98,131,500,3,21.83,5.89,5,1,0,0.0794,7.87,754,0,0.890,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.290; indexMiddle k=0.949 lim=1.50 peak=0.093; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.020; middleMiddle k=0.949 lim=1.50 peak=0.005; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.017; ringMiddle k=0.949 lim=1.50 peak=0.004; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.009; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.886; thumbEnd k=0.949 lim=1.50 peak=0.044; wristFlex k=3.16 lim=6.0 peak=1.214; wristPron k=3.16 lim=6.0 peak=0.546; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
7,lift,pinch,0.600,3.00,0,1,success,629,206,98,98,130,500,3,23.42,5.89,5,1,0,0.0766,6.86,754,0,0.856,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.534; indexMiddle k=0.949 lim=1.50 peak=0.125; indexEnd k=0.316 lim=0.70 peak=0.025; middleBase k=1.732 lim=2.50 peak=0.029; middleMiddle k=0.949 lim=1.50 peak=0.007; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.023; ringMiddle k=0.949 lim=1.50 peak=0.006; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.009; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=1.007; thumbEnd k=0.949 lim=1.50 peak=0.070; wristFlex k=3.16 lim=6.0 peak=1.675; wristPron k=3.16 lim=6.0 peak=0.678; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
8,lift,pinch,0.600,3.00,1,1,success,631,-1,98,98,132,500,3,23.47,5.89,5,1,0,0.0793,8.64,754,0,0.905,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.239; indexMiddle k=0.949 lim=1.50 peak=0.093; indexEnd k=0.316 lim=0.70 peak=0.022; middleBase k=1.732 lim=2.50 peak=0.017; middleMiddle k=0.949 lim=1.50 peak=0.004; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.014; ringMiddle k=0.949 lim=1.50 peak=0.004; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.005; pinkyMiddle k=0.949 lim=1.50 peak=0.001; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.731; thumbEnd k=0.949 lim=1.50 peak=0.046; wristFlex k=3.16 lim=6.0 peak=1.014; wristPron k=3.16 lim=6.0 peak=0.462; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
9,lift,pinch,0.600,3.00,2,1,success,629,342,98,98,130,500,3,25.74,5.89,5,1,0,0.0788,8.13,754,0,0.896,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.523; indexMiddle k=0.949 lim=1.50 peak=0.162; indexEnd k=0.316 lim=0.70 peak=0.029; middleBase k=1.732 lim=2.50 peak=0.028; middleMiddle k=0.949 lim=1.50 peak=0.007; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.021; ringMiddle k=0.949 lim=1.50 peak=0.005; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.008; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.000; thumbBase k=3.873 lim=4.00 peak=0.710; thumbEnd k=0.949 lim=1.50 peak=0.084; wristFlex k=3.16 lim=6.0 peak=1.579; wristPron k=3.16 lim=6.0 peak=0.851; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
10,lift,pinch,0.600,4.00,0,1,success,630,239,98,98,131,500,3,25.95,5.89,5,1,0,0.0824,7.49,754,0,0.922,0.00,0.200,1.00,0.00,torque: indexBase k=1.732 lim=2.50 peak=0.593; indexMiddle k=0.949 lim=1.50 peak=0.138; indexEnd k=0.316 lim=0.70 peak=0.023; middleBase k=1.732 lim=2.50 peak=0.022; middleMiddle k=0.949 lim=1.50 peak=0.004; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.016; ringMiddle k=0.949 lim=1.50 peak=0.005; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.011; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.001; thumbBase k=3.873 lim=4.00 peak=0.710; thumbEnd k=0.949 lim=1.50 peak=0.077; wristFlex k=3.16 lim=6.0 peak=0.720; wristPron k=3.16 lim=6.0 peak=0.930; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
11,lift,pinch,0.600,4.00,1,0,drop,281,200,98,98,131,150,3,33.95,5.89,0,0,0,0.0272,9.27,3184,0,0.848,0.00,0.200,0.00,-0.20,torque: indexBase k=1.732 lim=2.50 peak=0.566; indexMiddle k=0.949 lim=1.50 peak=0.264; indexEnd k=0.316 lim=0.70 peak=0.052; middleBase k=1.732 lim=2.50 peak=0.037; middleMiddle k=0.949 lim=1.50 peak=0.009; middleEnd k=0.316 lim=0.70 peak=0.001; ringBase k=1.732 lim=2.50 peak=0.028; ringMiddle k=0.949 lim=1.50 peak=0.007; ringEnd k=0.316 lim=0.70 peak=0.001; pinkyBase k=1.732 lim=2.50 peak=0.010; pinkyMiddle k=0.949 lim=1.50 peak=0.002; pinkyEnd k=0.316 lim=0.70 peak=0.001; thumbBase k=3.873 lim=4.00 peak=0.795; thumbEnd k=0.949 lim=1.50 peak=0.142; wristFlex k=3.16 lim=6.0 peak=1.480; wristPron k=3.16 lim=6.0 peak=1.039; controller: indexBase stop=-54.3 preload->-66.3 angle=-55.0 touch=1; indexMiddle nocontact cap->-70.0 angle=-56.6 touch=0; indexEnd stop=-29.7 preload->-41.7 angle=-30.4 touch=1; middleBase nocontact cap->0.0 angle=1.1 touch=0; middleMiddle nocontact cap->0.0 angle=-1.0 touch=0; middleEnd nocontact cap->0.0 angle=0.3 touch=0; ringBase nocontact cap->0.0 angle=0.6 touch=0; ringMiddle nocontact cap->0.0 angle=-0.6 touch=0; ringEnd nocontact cap->0.0 angle=0.2 touch=0; pinkyBase nocontact cap->0.0 angle=0.1 touch=0; pinkyMiddle nocontact cap->0.0 angle=-0.2 touch=0; pinkyEnd nocontact cap->0.0 angle=0.0 touch=0; thumbBase stop=-1.0 preload->11.0 angle=-1.2 touch=1; thumbEnd stop=43.1 preload->55.1 angle=48.2 touch=1; palm=yes contacts=4 | objInPalm(mm)=(80, 34, 49) r=25 linkEnds(mm): indexBase=(121, 32, 38) indexMiddle=(114, 51, 41) indexEnd=(97, 61, 45) middleBase=(148, -1, 11) middleMiddle=(173, -1, 10) middleEnd=(194, 1, 10) ringBase=(141, 0, -15) ringMiddle=(165, 0, -17) ringEnd=(186, 2, -20) pinkyBase=(122, 0, -39) pinkyMiddle=(139, 0, -43) pinkyEnd=(157, 4, -48) thumbBase=(43, 45, 46) thumbEnd=(86, 69, 41) palmFace(out mm)=10
