trial,mode,grip,mass,scale,seed,success,endReason,steps,gateStep,transitionStep,liftStart,stepsToLift,holdSteps,pulses,maxPulseN,weightN,contactsEnd,palm,forearm,bottomAboveTop,maxPenMm,maxJointSpeedDeg,nan,gripTorqueMean,retPhase,retHold,retBonus,retDrop,note
1,stability,walk,0.6,0,0,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,7.58,9684,0,0,0,0,0,0,omegaMean=521.5 zetaMean=0.64 lenMean=1.00 active=9 maxAbsAngle=105
2,stability,walk,0.6,0,1,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,8.56,8650,0,0,0,0,0,0,omegaMean=480.5 zetaMean=0.63 lenMean=1.05 active=9 maxAbsAngle=117
3,stability,walk,0.6,0,2,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,12.49,6182,0,0,0,0,0,0,omegaMean=493.5 zetaMean=0.61 lenMean=0.99 active=13 maxAbsAngle=123
4,stability,walk,0.6,0,3,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,8.09,4267,0,0,0,0,0,0,omegaMean=462.3 zetaMean=0.72 lenMean=1.06 active=12 maxAbsAngle=138
5,stability,walk,0.6,0,4,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.00,7498,0,0,0,0,0,0,omegaMean=547.7 zetaMean=0.65 lenMean=1.07 active=11 maxAbsAngle=101
6,stability,walk,0.6,0,5,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,6.22,5649,0,0,0,0,0,0,omegaMean=549.4 zetaMean=0.77 lenMean=1.01 active=8 maxAbsAngle=100
7,stability,walk,0.6,0,6,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,11.27,4528,0,0,0,0,0,0,omegaMean=459.6 zetaMean=0.67 lenMean=0.91 active=13 maxAbsAngle=102
8,stability,walk,0.6,0,7,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.00,4580,0,0,0,0,0,0,omegaMean=491.1 zetaMean=0.62 lenMean=1.03 active=13 maxAbsAngle=105
9,stability,walk,0.6,0,8,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.14,6075,0,0,0,0,0,0,omegaMean=397.5 zetaMean=0.79 lenMean=1.06 active=11 maxAbsAngle=125
10,stability,walk,0.6,0,9,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.00,4122,0,0,0,0,0,0,omegaMean=385.8 zetaMean=0.68 lenMean=1.05 active=12 maxAbsAngle=101
11,stability,walk,0.6,0,10,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3.66,10225,0,0,0,0,0,0,omegaMean=476.7 zetaMean=0.70 lenMean=0.96 active=12 maxAbsAngle=128
12,stability,walk,0.6,0,11,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,6.15,6825,0,0,0,0,0,0,omegaMean=490.6 zetaMean=0.59 lenMean=1.04 active=10 maxAbsAngle=171
13,stability,walk,0.6,0,12,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1.16,5816,0,0,0,0,0,0,omegaMean=332.5 zetaMean=0.62 lenMean=1.14 active=12 maxAbsAngle=122
14,stability,walk,0.6,0,13,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.00,14236,0,0,0,0,0,0,omegaMean=577.5 zetaMean=0.61 lenMean=1.04 active=11 maxAbsAngle=133
15,stability,walk,0.6,0,14,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,6.39,6266,0,0,0,0,0,0,omegaMean=381.0 zetaMean=0.66 lenMean=0.99 active=14 maxAbsAngle=166
16,stability,walk,0.6,0,15,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3.59,3916,0,0,0,0,0,0,omegaMean=469.5 zetaMean=0.65 lenMean=1.05 active=10 maxAbsAngle=101
17,stability,walk,0.6,0,16,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,6.46,9917,0,0,0,0,0,0,omegaMean=515.4 zetaMean=0.63 lenMean=0.98 active=12 maxAbsAngle=115
18,stability,walk,0.6,0,17,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3.14,4835,0,0,0,0,0,0,omegaMean=476.4 zetaMean=0.63 lenMean=0.86 active=11 maxAbsAngle=120
19,stability,walk,0.6,0,18,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,4.67,5442,0,0,0,0,0,0,omegaMean=460.0 zetaMean=0.56 lenMean=1.04 active=13 maxAbsAngle=101
20,stability,walk,0.6,0,19,1,walk,2000,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2.85,4775,0,0,0,0,0,0,omegaMean=575.2 zetaMean=0.66 lenMean=1.00 active=12 maxAbsAngle=109
DONE
