bone,tag,n_span,childDist_mm,spanMax_mm,cx_mm,cz_mm,r_mean,r_p50,r_p90,r_max,xw_min,xw_max,zw_min,zw_max,cap_r_mm,cap_h_mm,cap_cx,cap_cy,cap_cz
palm.r,Untagged,221,290.0,250.9,35.9,-9.9,85.4,83.4,113.4,153.4,-48.2,138.7,-123.6,123.8,box:(0.0439, 0.1937, 0.2072),centre:(0.0393, 0.1600, 0.0030),,,
Pinky1.r,pinkyBase,52,75.9,67.6,8.9,8.9,29.5,31.6,42.7,52.9,-18.9,48.3,-29.5,48.0,20.7,69.9,8.7,46.2,-8.2
Pinky2.r,pinkyMiddle,19,76.6,89.5,0.2,-4.5,21.9,21.5,26.7,32.7,-20.2,33.0,-26.8,14.7,17.8,64.1,8.7,22.9,-5.3
Pinky3.r,pinkyEnd,48,41.2,36.4,-0.3,-2.2,11.2,10.5,18.8,29.8,-12.3,29.4,-22.2,15.0,17.5,64.3,8.7,3.5,-5.0
Ring1.r,ringBase,49,86.0,65.6,8.7,0.4,28.9,25.5,39.5,52.4,-18.6,41.9,-50.0,45.8,21.2,80.0,24.3,68.4,1.3
ring2.r,ringMiddle,19,81.2,92.5,12.2,2.1,26.3,26.6,30.7,32.9,-18.5,44.3,-24.4,22.6,22.2,79.1,14.6,37.3,0.1
Ring3.r,ringEnd,9,19.7,47.8,5.1,0.2,24.3,23.8,28.4,30.9,-16.1,36.0,-24.0,22.0,21.8,63.8,3.3,18.1,-3.4
Middle1.r,middleBase,56,74.7,61.6,11.4,-2.7,36.4,35.4,47.7,57.4,-19.1,52.5,-49.7,53.4,27.5,97.5,8.1,57.9,5.6
Middle2.r,middleMiddle,34,96.8,126.3,9.3,2.0,31.1,29.8,35.7,44.7,-21.1,53.9,-25.6,30.7,27.5,97.6,8.1,41.4,5.6
Middle3.r,middleEnd,43,43.5,62.6,4.2,0.7,26.5,24.8,35.4,43.0,-18.9,47.1,-25.2,29.8,22.4,94.4,15.3,12.2,3.8
Pointer1.r,indexBase,53,94.2,79.0,18.7,-8.1,34.8,36.8,43.4,58.3,-22.5,56.1,-57.0,33.4,25.2,97.3,24.3,52.1,6.3
Pointer2.r,indexMiddle,18,78.1,104.9,3.3,3.0,27.4,27.1,35.0,45.2,-23.7,48.5,-20.0,31.6,22.3,74.1,24.3,42.1,3.7
Pointer3.r,indexEnd,19,42.9,57.7,-1.3,3.9,25.1,23.9,32.8,37.6,-24.2,36.1,-19.5,29.5,22.2,64.3,18.4,19.3,4.1
Thumb1.r,thumbBase,21,105.3,145.8,-0.9,-20.1,45.0,43.0,61.2,83.7,-80.9,41.1,-91.1,34.0,28.0,111.8,10.0,104.8,9.2
Thumb2.r,thumbEnd,32,84.7,81.4,-4.0,-12.6,30.7,33.6,40.8,50.0,-37.5,42.4,-52.8,26.3,35.3,131.5,3.4,67.8,9.4
