mu,massTercile,group,n,meanContacts,meanDistinctFingers,palmRate,thumbRate
0.6,light,success end,14,5.36,2.57,0.93,1.00
0.6,light,drop (hold),18,3.67,1.89,0.39,0.61
0.6,light,drop (before lift),1,0.00,0.00,0.00,0.00
0.6,mid,success end,16,5.12,2.62,1.00,1.00
0.6,mid,drop (hold),14,3.07,1.57,0.43,0.43
0.6,mid,drop (before lift),2,2.00,1.00,0.50,0.50
0.6,heavy,success end,18,5.44,2.67,0.94,1.00
0.6,heavy,drop (hold),15,3.67,1.93,0.47,0.67
0.6,heavy,drop (before lift),1,8.00,4.00,1.00,1.00
0.6,all,success end,48,5.31,2.62,0.96,1.00
0.6,all,drop (hold),47,3.49,1.81,0.43,0.57
0.6,all,drop (before lift),4,3.00,1.50,0.50,0.50
1.0,light,success end,15,5.60,2.87,0.93,1.00
1.0,light,drop (hold),17,2.53,1.12,0.53,0.59
1.0,mid,success end,17,4.76,2.41,0.88,0.94
1.0,mid,drop (hold),15,2.33,1.20,0.40,0.27
1.0,heavy,success end,22,5.36,2.77,1.00,1.00
1.0,heavy,drop (hold),12,4.92,2.83,0.75,0.75
1.0,all,success end,54,5.24,2.69,0.94,0.98
1.0,all,drop (hold),44,3.11,1.61,0.55,0.52
1.5,light,success end,14,5.00,2.50,0.86,1.00
1.5,light,drop (hold),15,1.93,1.13,0.33,0.33
1.5,light,drop (before lift),2,2.00,1.50,0.50,0.00
1.5,mid,success end,10,4.70,2.50,1.00,1.00
1.5,mid,drop (hold),20,2.70,1.45,0.40,0.40
1.5,mid,drop (before lift),2,3.00,1.50,0.00,0.50
1.5,heavy,success end,14,5.64,2.71,1.00,1.00
1.5,heavy,drop (hold),19,3.53,1.79,0.58,0.63
1.5,all,success end,38,5.16,2.58,0.95,1.00
1.5,all,drop (hold),54,2.78,1.48,0.44,0.46
1.5,all,drop (before lift),4,2.50,1.50,0.25,0.25
pooled,light,success end,43,5.33,2.65,0.91,1.00
pooled,light,drop (hold),50,2.76,1.40,0.42,0.52
pooled,light,drop (before lift),3,1.33,1.00,0.33,0.00
pooled,mid,success end,43,4.88,2.51,0.95,0.98
pooled,mid,drop (hold),49,2.69,1.41,0.41,0.37
pooled,mid,drop (before lift),4,2.50,1.25,0.25,0.50
pooled,heavy,success end,54,5.46,2.72,0.98,1.00
pooled,heavy,drop (hold),46,3.93,2.11,0.59,0.67
pooled,heavy,drop (before lift),1,8.00,4.00,1.00,1.00
pooled,all,success end,140,5.24,2.64,0.95,0.99
pooled,all,drop (hold),145,3.11,1.63,0.47,0.52
pooled,all,drop (before lift),8,2.75,1.50,0.38,0.38
