mu,massTercile,n,successRate,drop:before-lift,drop:during-pulse-1,drop:hold-before-pulse-1,drop:later-after-pulse-1,drop:later-after-pulse-2,drop:later-after-pulse-3,drop:within-0.4s-after-pulse-1,drop:within-0.4s-after-pulse-2,drop:within-0.4s-after-pulse-3,maxStep,success,taskBudget
0.6,light,33,0.42,1,0,9,1,5,0,3,0,0,0,14,0
0.6,mid,33,0.48,2,1,8,0,2,1,0,1,1,1,16,0
0.6,heavy,34,0.53,1,1,9,2,2,1,0,0,0,0,18,0
1.0,light,33,0.45,0,0,13,0,1,1,2,0,0,1,15,0
1.0,mid,33,0.52,0,0,11,1,1,1,1,0,0,1,17,0
1.0,heavy,34,0.65,0,0,5,3,1,1,1,0,1,0,22,0
1.5,light,33,0.42,2,0,13,0,1,1,0,0,0,2,14,0
1.5,mid,33,0.30,2,0,11,3,0,1,4,1,0,1,10,0
1.5,heavy,34,0.41,0,0,11,2,0,2,3,1,0,0,14,1
pooled,light,99,0.43,3,0,35,1,7,2,5,0,0,3,43,0
pooled,mid,99,0.43,4,1,30,4,3,3,5,2,1,3,43,0
pooled,heavy,102,0.53,1,1,25,7,3,4,4,1,1,0,54,1
