episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode
1,6001,1,success,584,73,85,500,500,3,17.11,6,2,1,1,0,1.211,1.00,1.00,2.37,4.210,0.9043,0.10,0.200,1.00,0.00,0.929,0.815,0.871,1.186,0.873,0.899,1.684,0.725,1.141,12,11111100111111,0.927,10.0,287,228,101,287,0,deterministic
2,6002,1,success,580,73,81,500,500,3,14.07,5,1,1,1,0,0.966,1.00,1.00,3.19,4.242,0.9067,0.10,0.200,1.00,0.00,1.006,1.015,0.974,1.118,0.866,1.055,2.362,0.672,1.191,12,11111101111011,1.006,10.0,269,325,177,325,0,deterministic
3,6003,1,success,591,80,92,500,500,3,12.03,3,2,1,1,0,0.838,1.00,1.00,3.12,1.435,0.8718,0.10,0.200,1.00,0.00,1.058,0.942,1.197,0.927,1.199,1.025,1.453,0.726,1.235,12,11011101111111,0.977,10.0,132,187,255,255,0,deterministic
4,6004,1,success,589,75,90,500,500,3,2.66,7,2,1,1,0,0.211,1.00,1.00,3.53,4.617,0.9112,0.10,0.200,1.00,0.00,1.081,1.104,0.992,1.061,1.134,1.112,1.929,0.647,1.104,13,11011111111111,1.041,10.0,179,475,23,475,0,deterministic
5,6005,1,success,588,79,89,500,500,3,10.12,5,3,1,1,0,0.696,1.00,1.00,2.77,3.461,0.9153,0.10,0.200,1.00,0.00,1.020,0.871,0.978,1.052,1.141,1.058,1.567,0.631,1.259,11,10101011111111,0.949,10.0,241,466,123,466,0,deterministic
6,6006,1,success,602,94,103,500,500,3,12.55,4,2,1,1,0,0.938,1.00,1.00,4.08,0.691,0.8532,0.10,0.200,1.00,0.00,0.866,0.834,0.975,0.866,0.801,0.855,2.328,0.680,1.282,9,01100111001111,0.934,10.0,60,480,215,480,0,deterministic
7,6007,1,success,588,82,89,500,500,3,15.44,4,3,1,1,0,1.114,1.00,1.00,4.84,0.491,0.8572,0.10,0.200,1.00,0.00,0.968,0.928,0.958,0.942,1.136,0.876,1.926,0.612,1.163,12,11111111101101,0.971,10.0,336,311,396,396,0,deterministic
8,6008,1,success,591,86,92,500,500,3,5.23,3,1,1,1,0,0.511,1.00,1.00,2.34,1.427,0.8991,0.10,0.200,1.00,0.00,0.912,0.822,0.907,0.886,0.965,0.982,1.603,0.752,1.334,11,11111101001111,0.930,10.0,480,134,259,480,0,deterministic
9,6009,1,success,600,93,101,500,500,3,6.72,5,3,1,1,0,0.462,1.00,1.00,2.22,0.815,0.9276,0.10,0.200,1.00,0.00,1.062,1.012,1.094,1.144,0.906,1.152,1.218,0.622,1.140,11,10111011111101,1.005,10.0,470,298,271,470,0,deterministic
10,6010,1,success,599,90,100,500,500,3,6.81,8,2,1,1,0,0.495,1.00,1.00,1.87,2.958,0.9059,0.10,0.200,1.00,0.00,0.982,0.979,1.061,1.136,0.803,0.931,1.985,0.718,1.269,11,11101011111011,0.992,10.0,472,70,273,472,0,deterministic
11,6011,1,success,592,86,93,500,500,3,5.33,6,2,1,1,0,0.413,1.00,1.00,2.45,1.160,0.9246,0.10,0.200,1.00,0.00,0.964,0.905,0.879,0.954,0.894,1.187,1.176,0.616,1.403,10,11111000110111,0.962,10.0,380,54,87,380,0,deterministic
12,6012,1,success,580,75,81,500,500,3,9.93,6,2,1,1,0,0.694,1.00,1.00,3.24,2.422,0.9227,0.10,0.200,1.00,0.00,0.959,0.873,0.974,0.922,0.849,1.174,1.062,0.559,1.159,11,11101111101011,0.950,10.0,215,163,273,273,0,deterministic
13,6013,1,success,579,74,80,500,500,3,11.28,6,3,1,1,0,0.930,1.00,1.00,3.64,2.432,0.8360,0.10,0.200,1.00,0.00,0.966,1.081,0.875,1.147,0.820,0.905,1.106,0.683,1.126,9,11101010110110,1.032,10.0,242,272,346,346,0,deterministic
14,6014,1,success,593,80,94,500,500,3,19.91,5,2,1,1,0,1.379,1.00,1.00,4.85,2.009,0.9113,0.10,0.200,1.00,0.00,1.030,1.185,1.130,0.883,1.129,0.825,1.102,0.689,1.372,10,10110111110011,1.073,10.0,156,295,396,396,0,deterministic
15,6015,1,success,579,75,80,500,500,3,8.79,6,2,1,1,0,0.662,1.00,1.00,4.13,1.488,0.8628,0.10,0.200,1.00,0.00,0.977,1.121,0.959,0.853,0.901,1.052,1.480,0.572,1.533,13,11111101111111,1.048,10.0,467,2,145,467,0,deterministic
16,6016,1,success,579,72,80,500,500,3,4.41,4,1,1,1,0,0.306,1.00,1.00,4.53,2.607,0.8498,0.10,0.200,1.00,0.00,1.062,1.092,1.112,0.862,1.200,1.044,1.430,0.630,1.277,9,10100111001111,1.037,10.0,47,27,133,133,0,deterministic
17,6017,1,success,580,75,81,500,500,3,3.75,7,3,1,1,0,0.257,1.00,1.00,5.44,1.973,0.9174,0.10,0.200,1.00,0.00,0.997,0.819,1.114,1.194,0.814,1.045,1.718,0.720,1.385,10,01111010011111,0.928,10.0,131,434,55,434,0,deterministic
18,6018,1,success,581,72,82,500,500,3,6.02,8,3,1,1,0,0.432,1.00,1.00,1.95,3.498,0.8899,0.10,0.200,1.00,0.00,1.007,1.036,0.862,1.064,0.876,1.197,1.390,0.679,1.198,11,01011111111110,1.014,10.0,6,50,169,169,0,deterministic
19,6019,1,success,607,96,108,500,500,3,5.42,6,3,1,1,0,0.440,1.00,1.00,3.97,0.436,0.9180,0.10,0.200,1.00,0.00,0.960,1.024,1.197,0.835,0.897,0.844,1.773,0.572,1.116,10,01111111101001,1.010,10.0,282,334,224,334,0,deterministic
20,6020,1,success,613,102,114,500,500,3,9.07,4,3,1,1,0,0.628,1.00,1.00,3.42,0.510,0.8233,0.10,0.200,1.00,0.00,1.067,1.158,1.194,0.984,0.979,1.020,2.424,0.572,1.341,10,11111101011001,1.062,10.0,94,51,373,373,0,deterministic
