episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,6001,1,success,589,79,90,500,500,3,17.42,6,4,1,0,0,1.239,1.00,1.00,2.73,0.361,0.8791,0.10,0.200,1.00,0.00,0.961,0.893,0.949,1.015,0.981,0.965,1.439,0.570,1.141,11,11111111010101,0.957,10.0,33,407,146,407,0,sampled,0,1,1,1
2,6002,1,success,576,72,77,500,500,3,5.59,7,3,1,1,0,0.381,1.00,1.00,3.48,4.294,0.9275,0.10,0.200,1.00,0.00,0.984,1.021,0.900,0.976,0.904,1.117,2.019,0.665,1.106,12,10111111111011,1.008,10.0,285,133,144,285,0,sampled,0,590,0,1
3,6003,0,drop,140,109,116,24,500,0,0.00,6,2,1,1,0,0.989,1.00,1.00,5.46,1.886,0.9005,0.10,0.096,0.00,-0.20,1.065,1.121,0.981,1.084,1.083,1.056,1.726,0.666,1.325,10,10101110110111,1.048,10.0,415,442,114,-1,0,sampled,0,1166,6,1
4,6004,0,drop,110,62,63,47,500,2,2.91,5,3,1,0,0,0.268,1.00,1.00,2.18,0.121,0.8596,0.10,0.188,0.00,-0.20,1.070,1.014,1.091,1.112,1.025,1.107,1.811,0.676,1.065,12,11111110101111,1.006,10.0,25,180,3,25,0,sampled,0,1306,6,1
5,6005,1,success,601,99,102,500,500,3,9.37,5,2,1,1,0,0.698,1.00,1.00,2.90,2.373,0.9074,0.10,0.200,1.00,0.00,0.933,0.968,0.981,0.993,0.825,0.897,1.152,0.663,1.448,13,10111111111111,0.987,10.0,359,104,137,359,0,sampled,0,1416,6,1
6,6006,1,success,574,70,75,500,500,3,3.00,4,2,1,1,0,0.214,1.00,1.00,2.10,1.689,0.9105,0.10,0.200,1.00,0.00,0.960,0.883,0.835,0.938,1.126,1.015,1.275,0.658,1.143,12,01111101111111,0.954,10.0,252,66,249,252,0,sampled,0,2017,7,1
7,6007,0,drop,208,91,110,0,500,0,0.00,6,4,1,1,0,0.435,1.00,1.00,3.63,0.303,0.7627,0.10,0.008,0.00,-0.20,1.013,1.042,0.896,1.174,0.837,1.117,1.175,0.698,0.964,12,11111111111001,1.017,10.0,-1,-1,-1,-1,0,sampled,0,2591,1,1
8,6008,1,success,612,110,113,500,500,3,12.04,4,3,1,1,0,1.136,1.00,1.00,3.24,1.684,0.9195,0.10,0.200,1.00,0.00,0.958,0.849,1.145,0.875,1.051,0.868,1.379,0.665,1.306,13,11111111111011,0.940,10.0,401,231,190,401,0,sampled,0,2799,9,1
9,6009,1,success,614,102,115,500,500,3,4.29,6,4,1,1,1,0.308,1.00,1.00,1.91,0.203,0.9094,0.10,0.200,1.00,0.00,0.928,0.858,0.811,0.897,1.102,0.973,1.233,0.738,1.351,10,01110111110101,0.944,10.0,157,16,175,175,0,sampled,0,3411,1,1
10,6010,1,success,591,80,92,500,500,3,9.50,7,3,1,1,0,0.723,1.00,1.00,2.64,2.425,0.9133,0.10,0.200,1.00,0.00,1.000,0.811,0.956,1.116,0.917,1.200,0.936,0.626,1.407,11,11100111110111,0.925,10.0,32,347,252,347,0,sampled,0,4025,5,1
11,6011,1,success,595,91,96,500,500,3,3.33,5,2,1,0,0,0.252,1.00,1.00,4.71,1.041,0.8938,0.10,0.200,1.00,0.00,0.971,1.105,0.867,0.902,0.936,1.044,1.646,0.723,1.259,9,11010001110111,1.042,10.0,320,63,447,447,0,sampled,0,4616,6,1
12,6012,1,success,637,132,138,500,500,3,5.61,3,1,1,1,0,0.514,1.00,1.00,3.35,2.976,0.8380,0.10,0.200,1.00,0.00,0.999,1.044,0.834,1.082,1.128,0.908,1.171,0.675,1.340,11,11101111100111,1.017,10.0,351,40,272,351,0,sampled,0,5211,1,1
