theta_id,scale,mass_min,mass_max,success,lo,hi,n,reach_failure,lifted,palm,contacts,hold,hash,wall_s,csv,time
0,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,7.140,500.0,5ed105a464502035,42,results/bo/partB/probe_passes/probe_t00_s1.0.csv,17:09:53
1,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.740,500.0,b4ff0a6e8538dc22,42,results/bo/partB/probe_passes/probe_t01_s1.0.csv,17:10:39
2,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.550,500.0,e7ada823b336d487,42,results/bo/partB/probe_passes/probe_t02_s1.0.csv,17:11:25
3,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.050,500.0,d9227ead9b5d48ea,42,results/bo/partB/probe_passes/probe_t03_s1.0.csv,17:12:10
4,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,8.000,500.0,b62a0f7d7f6c8abc,42,results/bo/partB/probe_passes/probe_t04_s1.0.csv,17:12:56
5,1.0,,,0.9800,0.9300,0.9945,100,0.0000,0.9900,0.7700,4.060,490.3,8f570737c2e3be79,42,results/bo/partB/probe_passes/probe_t05_s1.0.csv,17:13:42
6,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.970,500.0,b497bfed27978ab5,42,results/bo/partB/probe_passes/probe_t06_s1.0.csv,17:14:28
7,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.760,500.0,065d3df678c7b550,42,results/bo/partB/probe_passes/probe_t07_s1.0.csv,17:15:14
8,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.840,500.0,3170f0d69f65888d,42,results/bo/partB/probe_passes/probe_t08_s1.0.csv,17:16:00
9,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,5.550,500.0,04cb8b5668692793,42,results/bo/partB/probe_passes/probe_t09_s1.0.csv,17:16:45
10,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,4.760,500.0,d209a03544cbaae1,42,results/bo/partB/probe_passes/probe_t10_s1.0.csv,17:17:31
11,1.0,,,0.9900,0.9455,0.9982,100,0.0000,1.0000,0.7700,3.820,495.0,dd797722ba18c02f,42,results/bo/partB/probe_passes/probe_t11_s1.0.csv,17:18:17
12,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,3.630,500.0,a5917df9924256c9,42,results/bo/partB/probe_passes/probe_t12_s1.0.csv,17:19:03
13,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.240,500.0,d7c6db6d25d89000,42,results/bo/partB/probe_passes/probe_t13_s1.0.csv,17:19:49
14,1.0,,,0.9100,0.8377,0.9519,100,0.0100,0.9500,0.7800,4.900,464.4,ff3587dc8e1fa78f,42,results/bo/partB/probe_passes/probe_t14_s1.0.csv,17:20:35
15,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,6.010,500.0,318f537e63e8c6d1,42,results/bo/partB/probe_passes/probe_t15_s1.0.csv,17:21:21
16,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9700,7.130,500.0,0690192d63b232cd,42,results/bo/partB/probe_passes/probe_t16_s1.0.csv,17:22:06
17,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,0.9800,5.520,500.0,8a6b192e5fa5ead7,42,results/bo/partB/probe_passes/probe_t17_s1.0.csv,17:22:52
18,1.0,,,0.9900,0.9455,0.9982,100,0.0000,1.0000,1.0000,5.760,498.4,02c4d2aea1096c13,42,results/bo/partB/probe_passes/probe_t18_s1.0.csv,17:23:38
19,1.0,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,6.140,500.0,820fe8fee2fb40ac,42,results/bo/partB/probe_passes/probe_t19_s1.0.csv,17:24:24
0,1.5,,,1.0000,0.9630,1.0000,100,0.0000,1.0000,1.0000,7.240,500.0,63e9a19f44df673f,42,results/bo/partB/probe_passes/probe_t00_s1.5.csv,17:25:10
1,1.5,,,0.9900,0.9455,0.9982,100,0.0100,0.9900,1.0000,6.610,495.0,65e5717ba617182d,42,results/bo/partB/probe_passes/probe_t01_s1.5.csv,17:25:56
