episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,582,71,83,500,500,3,21.15,4,2,1,1,0,0.742,2.00,1.00,3.40,1.391,0.7788,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,604,89,105,500,500,3,39.11,5,2,1,1,0,1.784,2.00,1.00,3.75,1.952,0.9106,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,434,28,481,481,0,deterministic,0,583,3,1
3,4003,1,success,578,73,79,500,500,3,46.22,7,3,1,1,0,1.720,2.00,1.00,4.22,1.641,0.8826,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,315,122,338,338,0,deterministic,0,1187,7,1
4,4004,1,success,574,66,75,500,500,3,24.94,5,2,1,1,0,0.882,2.00,1.00,4.25,1.436,0.7831,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,229,291,315,315,0,deterministic,0,1765,5,1
5,4005,1,success,566,59,67,500,500,3,26.20,5,2,1,1,0,0.914,2.00,1.00,3.57,1.601,0.7836,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,494,300,370,494,0,deterministic,0,2339,9,1
6,4006,1,success,589,83,90,500,500,3,31.21,7,3,1,1,0,1.358,2.00,1.00,2.01,1.828,0.8736,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,135,209,354,354,0,deterministic,0,2905,5,1
7,4007,1,success,600,89,101,500,500,3,37.29,7,3,1,1,1,1.420,2.00,1.00,2.48,1.959,0.9045,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,184,76,299,299,0,deterministic,0,3494,4,1
8,4008,1,success,591,85,92,500,500,3,40.70,6,3,1,1,0,1.399,2.00,1.00,3.84,1.380,0.9230,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,429,312,53,429,0,deterministic,0,4094,4,1
9,4009,1,success,598,86,99,500,500,3,37.64,7,3,1,1,0,1.418,2.00,1.00,4.39,1.881,0.9125,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,398,371,295,398,0,deterministic,0,4685,5,1
10,4010,1,success,574,64,75,500,500,3,53.46,4,3,1,1,0,1.939,2.00,1.00,3.59,1.997,0.7566,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,157,70,356,356,0,deterministic,0,5283,3,1
11,4011,1,success,589,77,90,500,500,3,11.94,3,2,1,1,0,0.406,2.00,1.00,2.47,1.305,0.9114,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,480,443,89,480,0,deterministic,0,5857,7,1
12,4012,1,success,588,77,89,500,500,3,13.20,4,2,1,1,0,0.548,2.00,1.00,3.65,1.114,0.8750,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,470,397,275,470,0,deterministic,0,6446,6,1
13,4013,1,success,581,73,82,500,500,3,47.58,4,2,1,1,0,1.767,2.00,1.00,3.82,1.650,0.8985,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,133,2,333,333,0,deterministic,0,7034,4,1
14,4014,1,success,589,78,90,500,500,3,23.16,5,2,1,1,0,1.194,2.00,1.00,4.20,1.443,0.8793,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,468,24,148,468,0,deterministic,0,7615,5,1
15,4015,1,success,582,72,83,500,500,3,48.53,5,3,1,1,0,2.207,2.00,1.00,3.34,1.706,0.9009,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,57,218,446,446,0,deterministic,0,8204,4,1
16,4016,1,success,579,74,80,500,500,3,25.00,4,2,1,1,0,0.936,2.00,1.00,2.27,1.506,0.8648,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,293,462,127,462,0,deterministic,0,8786,6,1
17,4017,1,success,593,78,94,500,500,3,18.78,4,2,1,1,0,0.741,2.00,1.00,2.38,1.976,0.9106,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,437,320,378,437,0,deterministic,0,9365,5,1
18,4018,1,success,597,85,98,500,500,3,33.95,4,2,1,1,0,1.342,2.00,1.00,1.84,1.590,0.8938,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,240,420,162,420,0,deterministic,0,9958,8,1
19,4019,1,success,604,87,105,500,500,3,25.79,5,3,1,1,0,1.122,2.00,1.00,2.44,1.684,0.8857,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,288,413,489,489,0,deterministic,0,10555,5,1
20,4020,1,success,576,65,77,500,500,3,26.75,4,2,1,1,0,0.963,2.00,1.00,3.67,1.655,0.8444,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,17,432,493,493,0,deterministic,0,11159,9,1
21,4021,1,success,578,67,79,500,500,3,26.28,6,3,1,1,0,1.143,2.00,1.00,3.53,1.823,0.7964,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,404,411,488,488,0,deterministic,0,11735,5,1
22,4022,1,success,591,78,92,500,500,3,42.16,4,2,1,1,0,2.082,2.00,1.00,2.87,1.687,0.8701,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,281,218,208,281,0,deterministic,0,12313,3,1
23,4023,1,success,583,67,84,500,500,3,17.53,4,2,1,1,0,0.615,2.00,1.00,3.28,1.597,0.8819,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,124,428,30,428,0,deterministic,0,12904,4,1
24,4024,1,success,578,67,79,500,500,3,11.48,5,2,1,1,0,0.405,2.00,1.00,1.99,1.456,0.8435,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,208,99,454,454,0,deterministic,0,13487,7,1
25,4025,1,success,591,77,92,500,500,3,59.44,4,2,1,1,0,2.860,2.00,1.00,5.21,2.300,0.8917,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,494,409,111,494,0,deterministic,0,14065,5,1
26,4026,1,success,598,93,99,500,500,3,47.19,6,3,1,1,0,2.129,2.00,1.00,4.56,2.678,0.8535,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,126,325,433,433,0,deterministic,0,14656,6,1
27,4027,1,success,591,86,92,500,500,3,25.88,5,2,1,1,0,0.963,2.00,1.00,1.58,1.224,0.8834,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,274,169,170,274,0,deterministic,0,15254,4,1
28,4028,1,success,580,71,81,500,500,3,40.06,5,3,1,1,0,1.425,2.00,1.00,4.30,1.143,0.8703,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,472,229,31,472,0,deterministic,0,15845,5,1
29,4029,1,success,585,76,86,500,500,3,53.79,4,2,1,1,0,1.981,2.00,1.00,3.91,1.529,0.9032,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,63,252,246,252,0,deterministic,0,16425,5,1
30,4030,1,success,584,73,85,500,500,3,14.92,6,2,1,1,0,0.544,2.00,1.00,2.54,1.569,0.8673,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,214,105,174,214,0,deterministic,0,17010,0,1
31,4031,1,success,600,89,101,500,500,3,12.64,5,2,1,1,0,0.640,2.00,1.00,1.66,1.597,0.9288,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,69,318,373,373,0,deterministic,0,17594,4,1
32,4032,1,success,603,91,104,500,500,3,39.36,6,3,1,1,0,1.810,2.00,1.00,1.72,1.690,0.9060,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,148,398,460,460,0,deterministic,0,18194,4,1
33,4033,1,success,581,72,82,500,500,3,69.43,3,2,1,1,0,2.746,2.00,1.00,5.59,2.643,0.8763,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,234,5,266,266,0,deterministic,0,18797,7,1
34,4034,1,success,576,64,77,500,500,3,12.22,6,3,1,1,0,0.449,2.00,1.00,2.77,1.660,0.7959,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,487,452,63,487,0,deterministic,0,19378,8,1
35,4035,1,success,580,72,81,500,500,3,21.22,7,3,1,1,1,0.809,2.00,1.00,3.66,1.431,0.8566,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,272,2,170,272,0,deterministic,0,19954,4,1
36,4036,1,success,570,66,71,500,500,3,22.80,4,2,1,1,0,0.862,2.00,1.00,4.45,1.372,0.7472,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,264,151,93,264,0,deterministic,0,20534,4,1
37,4037,1,success,591,77,92,500,500,3,62.64,4,3,1,1,0,2.464,2.00,1.00,4.07,2.051,0.8584,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,382,394,412,412,0,deterministic,0,21104,4,1
38,4038,1,success,590,84,91,500,500,3,28.12,4,3,1,1,0,1.098,2.00,1.00,4.00,1.887,0.9092,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,209,222,259,259,0,deterministic,0,21695,5,1
39,4039,1,success,581,71,82,500,500,3,30.77,5,2,1,1,0,1.124,2.00,1.00,3.17,1.630,0.8977,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,82,39,354,354,0,deterministic,0,22285,5,1
40,4040,1,success,580,70,81,500,500,3,56.63,4,3,1,1,0,2.226,2.00,1.00,4.59,2.216,0.8961,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,105,207,350,350,0,deterministic,0,22866,6,1
41,4041,1,success,603,91,104,500,500,3,11.84,5,2,1,1,0,0.422,2.00,1.00,1.99,1.183,0.8961,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,185,288,486,486,0,deterministic,0,23446,6,1
42,4042,1,success,576,69,77,500,500,3,13.40,5,2,1,1,0,0.487,2.00,1.00,3.28,1.104,0.8559,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,191,448,429,448,0,deterministic,0,24049,9,1
43,4043,1,success,577,66,78,500,500,3,36.01,5,2,1,1,0,1.279,2.00,1.00,4.57,1.546,0.8830,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,174,268,50,268,0,deterministic,0,24625,5,1
44,4044,1,success,573,66,74,500,500,3,12.74,3,1,1,1,0,0.560,2.00,1.00,4.28,1.199,0.8278,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,299,406,349,406,0,deterministic,0,25202,2,1
45,4045,1,success,591,84,92,500,500,3,62.89,4,2,1,1,0,2.578,2.00,1.00,4.02,2.329,0.8794,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,64,267,492,492,0,deterministic,0,25775,5,1
46,4046,1,success,589,83,90,500,500,3,22.34,5,2,1,1,0,0.924,2.00,1.00,1.89,1.368,0.8926,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,409,157,383,409,0,deterministic,0,26366,6,1
47,4047,1,success,579,70,80,500,500,3,15.99,5,3,1,1,0,0.561,2.00,1.00,3.15,1.744,0.8931,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,46,91,375,375,0,deterministic,0,26955,5,1
48,4048,1,success,593,86,94,500,500,3,85.59,5,2,1,1,0,2.963,2.00,1.00,4.52,2.740,0.9109,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,430,461,150,461,0,deterministic,0,27534,4,1
49,4049,1,success,575,66,76,500,500,3,14.75,5,2,1,1,0,0.518,2.00,1.00,2.88,1.698,0.6999,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,419,363,132,419,0,deterministic,0,28127,7,1
50,4050,1,success,582,75,83,500,500,3,17.78,4,3,1,1,0,0.834,2.00,1.00,2.74,1.938,0.7001,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,12,280,209,280,0,deterministic,0,28702,2,1
51,4051,1,success,593,77,94,500,500,3,13.60,6,3,1,1,0,0.478,2.00,1.00,2.81,1.658,0.9146,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,323,299,353,353,0,deterministic,0,29284,4,1
52,4052,1,success,579,69,80,500,500,3,44.39,5,3,1,1,0,2.345,2.00,1.00,2.97,1.692,0.8983,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,143,426,199,426,0,deterministic,0,29877,7,1
53,4053,1,success,578,67,79,500,500,3,38.13,4,3,1,1,0,1.546,2.00,1.00,3.63,1.865,0.8550,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,54,65,299,299,0,deterministic,0,30456,6,1
54,4054,1,success,580,70,81,500,500,3,22.52,4,2,1,1,0,0.824,2.00,1.00,2.08,1.897,0.7863,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,212,84,308,308,0,deterministic,0,31034,4,1
55,4055,1,success,581,68,82,500,500,3,13.97,6,2,1,1,0,0.559,2.00,1.00,4.43,1.461,0.8855,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,244,424,100,424,0,deterministic,0,31614,4,1
56,4056,1,success,588,77,89,500,500,3,37.32,4,3,1,1,0,1.391,2.00,1.00,4.12,1.881,0.8019,0.10,0.200,1.00,0.00,0.990,1.187,0.998,0.927,0.906,0.930,1.156,0.673,1.360,11,11111101011110,1.074,10.0,454,100,483,483,0,deterministic,0,32195,5,1
