episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,4001,1,success,583,77,84,500,500,3,10.58,5,2,1,1,0,0.371,2.00,1.00,2.67,1.273,0.7623,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,282,147,268,282,0,deterministic,0,1,1,1
2,4002,1,success,592,85,93,500,500,3,19.55,3,2,1,1,1,0.892,2.00,1.00,3.88,1.259,0.9159,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,434,28,481,481,0,deterministic,0,584,4,1
3,4003,1,success,587,80,88,500,500,3,23.11,6,2,1,1,0,0.860,2.00,1.00,1.86,1.332,0.8813,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,315,122,338,338,0,deterministic,0,1176,6,1
4,4004,1,success,581,72,82,500,500,3,12.47,5,2,1,1,0,0.441,2.00,1.00,2.61,1.158,0.7823,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,229,291,315,315,0,deterministic,0,1763,3,1
5,4005,1,success,575,67,76,500,500,3,13.10,3,2,1,1,0,0.457,2.00,1.00,2.01,1.426,0.7836,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,494,300,370,494,0,deterministic,0,2344,4,1
6,4006,1,success,586,78,87,500,500,3,15.61,6,2,1,1,0,0.679,2.00,1.00,3.53,1.242,0.8918,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,135,209,354,354,0,deterministic,0,2919,9,1
7,4007,1,success,599,92,100,500,500,3,18.65,3,2,1,1,0,0.710,2.00,1.00,1.34,1.317,0.8990,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,184,76,299,299,0,deterministic,0,3505,5,1
8,4008,1,success,598,93,99,500,500,3,20.35,3,2,1,1,0,0.700,2.00,1.00,1.74,1.200,0.9227,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,429,312,53,429,0,deterministic,0,4104,4,1
9,4009,1,success,602,97,103,500,500,3,18.82,3,2,1,1,0,0.709,2.00,1.00,2.06,1.364,0.9106,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,398,371,295,398,0,deterministic,0,4702,2,1
10,4010,1,success,578,67,79,500,500,3,26.73,4,3,1,1,0,0.969,2.00,1.00,3.40,1.488,0.7496,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,157,70,356,356,0,deterministic,0,5304,4,1
11,4011,1,success,603,89,104,500,500,3,5.97,3,2,1,1,0,0.203,2.00,1.00,1.91,1.242,0.8988,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,480,443,89,480,0,deterministic,0,5882,2,1
12,4012,1,success,589,81,90,500,500,3,6.60,4,2,1,1,0,0.274,2.00,1.00,2.41,1.100,0.8688,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,470,397,275,470,0,deterministic,0,6485,5,1
13,4013,1,success,586,77,87,500,500,3,23.79,3,2,1,1,0,0.884,2.00,1.00,2.18,1.464,0.8809,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,133,2,333,333,0,deterministic,0,7074,4,1
14,4014,1,success,590,82,91,500,500,3,11.58,5,3,1,1,0,0.597,2.00,1.00,1.79,1.397,0.8874,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,468,24,148,468,0,deterministic,0,7660,0,1
15,4015,1,success,580,74,81,500,500,3,24.26,3,2,1,1,0,1.104,2.00,1.00,1.71,1.362,0.8847,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,57,218,446,446,0,deterministic,0,8250,0,1
16,4016,1,success,585,75,86,500,500,3,12.50,4,2,1,1,0,0.468,2.00,1.00,2.59,1.264,0.8774,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,293,462,127,462,0,deterministic,0,8830,0,1
17,4017,1,success,589,80,90,500,500,3,9.39,3,2,1,1,0,0.371,2.00,1.00,1.78,1.344,0.9024,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,437,320,378,437,0,deterministic,0,9415,5,1
18,4018,1,success,598,89,99,500,500,3,16.97,5,2,1,1,0,0.671,2.00,1.00,3.86,1.108,0.8988,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,240,420,162,420,0,deterministic,0,10004,4,1
19,4019,1,success,593,86,94,500,500,3,12.90,4,2,1,1,0,0.561,2.00,1.00,4.23,1.140,0.9128,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,288,413,489,489,0,deterministic,0,10602,2,1
20,4020,1,success,584,76,85,500,500,3,13.38,3,2,1,1,0,0.481,2.00,1.00,1.43,1.400,0.8389,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,17,432,493,493,0,deterministic,0,11195,5,1
21,4021,1,success,583,77,84,500,500,3,13.14,3,2,1,1,0,0.571,2.00,1.00,2.28,1.458,0.7953,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,404,411,488,488,0,deterministic,0,11779,9,1
22,4022,1,success,600,90,101,500,500,3,21.08,3,2,1,1,0,1.041,2.00,1.00,3.57,1.423,0.8687,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,281,218,208,281,0,deterministic,0,12362,2,1
23,4023,1,success,580,75,81,500,500,3,8.77,4,2,1,1,0,0.307,2.00,1.00,3.84,1.453,0.8665,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,124,428,30,428,0,deterministic,0,12962,2,1
24,4024,1,success,592,81,93,500,500,3,5.74,4,2,1,1,0,0.202,2.00,1.00,1.64,1.375,0.8418,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,208,99,454,454,0,deterministic,0,13542,2,1
25,4025,1,success,601,88,102,500,500,3,29.72,3,2,1,1,0,1.430,2.00,1.00,2.02,1.497,0.9050,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,494,409,111,494,0,deterministic,0,14134,4,1
26,4026,1,success,598,89,99,500,500,3,23.59,3,2,1,1,1,1.064,2.00,1.00,3.54,1.356,0.8875,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,126,325,433,433,0,deterministic,0,14735,5,1
27,4027,1,success,599,90,100,500,500,3,12.94,5,2,1,1,0,0.481,2.00,1.00,2.39,1.150,0.8944,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,274,169,170,274,0,deterministic,0,15333,3,1
28,4028,1,success,593,85,94,500,500,3,18.25,5,2,1,1,0,0.713,2.00,1.00,3.12,1.332,0.8219,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,445,231,150,445,0,deterministic,0,15932,2,1
29,4029,1,success,607,99,108,500,500,3,26.89,3,2,1,1,0,0.991,2.00,1.00,2.54,1.474,0.8986,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,63,252,246,252,0,deterministic,0,16525,5,1
30,4030,1,success,599,92,100,500,500,3,7.46,3,2,1,1,0,0.272,2.00,1.00,2.03,1.335,0.8419,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,214,105,174,214,0,deterministic,0,17132,2,1
31,4031,1,success,612,106,113,500,500,3,6.32,3,2,1,1,0,0.320,2.00,1.00,1.42,1.252,0.9178,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,69,318,373,373,0,deterministic,0,17731,1,1
32,4032,1,success,602,92,103,500,500,3,19.68,3,2,1,1,0,0.905,2.00,1.00,2.02,1.280,0.8981,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,148,398,460,460,0,deterministic,0,18343,3,1
33,4033,1,success,589,80,90,500,500,3,34.71,4,3,1,0,0,1.373,2.00,1.00,3.59,1.976,0.8619,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,234,5,266,266,0,deterministic,0,18945,5,1
34,4034,1,success,587,80,88,500,500,3,6.11,3,2,1,1,0,0.224,2.00,1.00,1.69,1.386,0.7969,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,487,452,63,487,0,deterministic,0,19534,4,1
35,4035,1,success,586,80,87,500,500,3,10.61,3,2,1,1,0,0.404,2.00,1.00,1.67,1.378,0.8431,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,272,2,170,272,0,deterministic,0,20121,1,1
36,4036,1,success,581,77,82,500,500,3,11.40,3,2,1,1,0,0.431,2.00,1.00,1.65,1.363,0.7512,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,264,151,93,264,0,deterministic,0,20707,7,1
37,4037,1,success,587,79,88,500,500,3,31.32,3,2,1,1,0,1.232,2.00,1.00,2.56,1.429,0.8566,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,382,394,412,412,0,deterministic,0,21288,8,1
38,4038,1,success,608,104,109,500,500,3,14.06,3,2,1,1,0,0.549,2.00,1.00,1.58,1.328,0.9256,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,209,222,259,259,0,deterministic,0,21875,5,1
39,4039,1,success,582,75,83,500,500,3,15.38,5,2,1,1,0,0.562,2.00,1.00,3.53,1.386,0.8934,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,82,39,354,354,0,deterministic,0,22483,3,1
40,4040,1,success,588,79,89,500,500,3,28.32,3,2,1,1,0,1.113,2.00,1.00,2.32,1.531,0.8938,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,105,207,350,350,0,deterministic,0,23065,5,1
41,4041,1,success,600,94,101,500,500,3,5.92,6,2,1,1,0,0.211,2.00,1.00,3.88,1.136,0.8996,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,185,288,486,486,0,deterministic,0,23653,3,1
42,4042,1,success,589,79,90,500,500,3,6.70,3,2,1,1,0,0.244,2.00,1.00,3.59,1.356,0.8295,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,191,448,429,448,0,deterministic,0,24253,3,1
43,4043,1,success,582,74,83,500,500,3,18.00,3,2,1,1,0,0.639,2.00,1.00,2.25,1.391,0.8769,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,174,268,50,268,0,deterministic,0,24842,2,1
44,4044,1,success,599,90,100,500,500,3,7.89,3,2,1,1,0,0.280,2.00,1.00,1.52,1.354,0.8518,0.10,0.200,1.00,0.00,1.036,0.865,1.005,1.010,1.130,1.172,1.846,0.763,1.233,11,11100111110111,0.946,10.0,231,299,406,406,0,deterministic,0,25424,4,1
