episode,seed,success,endReason,steps,transitionStep,stepsToLift,holdSteps,holdNeeded,pulses,maxPulseN,contacts,distinctFingers,thumb,palm,forearm,mass,perturbScale,mu,maxPenMm,gripTorqueMean,retShaping,retPhase,retHold,retBonus,retDrop,lenMean,lenIndex,lenMiddle,lenRing,lenPinky,lenThumb,kFingerMean,zetaMean,inertiaScaleMean,activeGroups,mask,handSpanRatio,dtMs,pulseStep1,pulseStep2,pulseStep3,lastPulseStep,pulseActiveAtDrop,head_mode,maxStepTimeout,academyStepAtBegin,phaseAtBegin,warmupSteps
1,6091,1,success,574,67,75,500,500,3,10.91,8,3,1,1,0,1.046,1.00,1.00,2.94,2.898,0.8180,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,493,21,451,493,0,deterministic,0,1,1,1
2,6092,1,success,588,82,89,500,500,3,8.18,5,3,1,1,0,0.596,1.00,1.00,3.46,2.579,0.9246,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,104,184,467,467,0,deterministic,0,575,5,1
3,6093,1,success,588,80,89,500,500,3,18.58,9,3,1,1,0,1.374,1.00,1.00,3.78,2.920,0.9063,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,75,42,240,240,0,deterministic,0,1163,3,1
4,6094,1,success,573,68,74,500,500,3,7.98,7,4,1,1,0,0.691,1.00,1.00,2.92,2.597,0.8685,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,363,386,338,386,0,deterministic,0,1751,1,1
5,6095,1,success,591,85,92,500,500,3,5.60,9,4,1,1,0,0.477,1.00,1.00,3.10,2.669,0.9280,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,177,395,78,395,0,deterministic,0,2324,4,1
6,6096,1,success,600,91,101,500,500,3,11.91,8,2,1,1,0,1.043,1.00,1.00,3.00,2.682,0.9285,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,408,444,423,444,0,deterministic,0,2915,5,1
7,6097,1,success,569,65,70,500,500,3,6.76,8,3,1,1,0,0.602,1.00,1.00,3.10,3.310,0.8769,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,388,461,234,461,0,deterministic,0,3515,5,1
8,6098,1,success,590,79,91,500,500,3,2.90,7,2,1,1,0,0.250,1.00,1.00,3.62,3.394,0.8970,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,344,148,201,344,0,deterministic,0,4084,4,1
9,6099,1,success,592,78,93,500,500,3,10.75,9,3,1,1,0,0.795,1.00,1.00,3.27,2.679,0.9334,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,358,126,244,358,0,deterministic,0,4674,4,1
10,6100,1,success,585,75,86,500,500,3,18.38,9,3,1,1,0,1.256,1.00,1.00,2.92,3.683,0.8734,0.10,0.200,1.00,0.00,1.000,1.000,1.000,1.000,1.000,1.000,1.201,0.700,2.000,14,11111111111111,1.000,10.0,387,365,291,387,0,deterministic,0,5266,6,1
DONE
