idx,bo_objective,bo_best,random_objective,random_best
1,0.75,0.75,0.5833333333333334,0.5833333333333334
2,,0.75,,0.5833333333333334
3,0.7833333333333333,0.7833333333333333,1,1
4,,0.7833333333333333,,1
5,0.75,0.7833333333333333,0.6,1
6,,0.7833333333333333,0.75,1
7,,0.7833333333333333,1,1
8,0.9166666666666666,0.9166666666666666,0.7833333333333333,1
9,,0.9166666666666666,0.8666666666666667,1
10,0.95,0.95,,1
11,,0.95,0.95,1
12,0.7,0.95,0.9,1
13,,0.95,,1
14,,0.95,,1
15,,0.95,,1
16,0.85,0.95,0.75,1
17,,0.95,,1
18,0.6166666666666667,0.95,,1
19,0.8833333333333333,0.95,,1
20,,0.95,,1
21,0.9333333333333333,0.95,0.7666666666666667,1
22,0.6833333333333333,0.95,,1
23,,0.95,,1
24,0.7,0.95,0.5666666666666667,1
25,0.8,0.95,0.7666666666666666,1
26,,0.95,0.9,1
27,,0.95,1,1
28,0.75,0.95,0.5333333333333333,1
29,,0.95,0.85,1
30,0.55,0.95,1,1
31,1,1,0.6,1
32,0.9833333333333333,1,0.65,1
33,,1,0.7,1
34,1,1,,1
35,1,1,,1
36,,1,,1
37,1,1,,1
38,1,1,,1
39,1,1,,1
40,1,1,,1
41,1,1,0.7833333333333333,1
42,1,1,,1
43,,1,0.9,1
44,,1,,1
45,,1,,1
46,0.95,1,0.4166666666666667,1
47,0.9833333333333333,1,0.8833333333333333,1
48,1,1,0.8,1
49,1,1,,1
50,1,1,,1
51,0.1,1,0.95,1
52,1,1,,1
53,0.9,1,0.9166666666666666,1
54,1,1,0.9333333333333333,1
55,1,1,0.8,1
56,0.8,1,0.95,1
57,1,1,0.7833333333333333,1
58,1,1,,1
59,0.95,1,,1
60,,1,,1
61,0.85,1,0.5833333333333334,1
62,1,1,,1
63,0.95,1,0.9666666666666667,1
64,0.8333333333333334,1,0.75,1
65,0.9833333333333333,1,,1
66,0.95,1,,1
67,1,1,0.9166666666666666,1
68,,1,0.6,1
69,1,1,0.8,1
70,1,1,0.85,1
71,1,1,0.6,1
72,0.9,1,,1
73,,1,0.8,1
74,0.9666666666666667,1,,1
75,0.95,1,0.8833333333333333,1
76,,1,0.8,1
77,,1,0.55,1
78,,1,0.8333333333333334,1
79,0.85,1,0.9,1
80,1,1,,1
81,,1,,1
82,,1,0.85,1
83,0.9833333333333333,1,0.3333333333333333,1
84,1,1,,1
85,0.9833333333333333,1,0.85,1
86,,1,,1
87,0.9833333333333333,1,0.85,1
88,1,1,0.35,1
89,,1,0.8333333333333334,1
90,1,1,,1
91,1,1,0.7333333333333333,1
92,1,1,0.6,1
93,,1,,1
94,1,1,0.9333333333333333,1
95,1,1,0.55,1
96,0.9833333333333333,1,0.8,1
97,0.85,1,,1
98,0.8,1,,1
99,,1,,1
100,1,1,0.75,1
