arm,idx,phase,key,feasible,objective,pass_given_hold,success_rate,palm_contact_rate,mean_contacts,lenMean,lenThumb,active,mask,omegaActiveMean,zetaActiveMean,inertiaActiveMean,oracle_gate_step,oracle_max_contacts,oracle_push_mm,acq,ei,p_feasible,origin
bo,1,init,58f963ab9945,True,0.75,0.75,1,0,8.7,1.0000,1.000,14,11111111111111,25.00,0.700,1.000,68,8,14.000000953674316,None,None,None,
bo,2,init,5753fa57cfb6,False,None,None,None,None,None,1.0578,1.195,11,01110110111111,22.83,0.635,1.300,-1,5,0.0,None,None,None,
bo,3,init,e98417f69894,True,0.7833333333333333,0.7833333333333333,1,0,7.65,0.9685,0.825,11,11111011011101,26.65,0.717,1.259,132,6,43.99998092651367,None,None,None,
bo,4,init,55aa34cbee87,False,None,None,None,None,None,0.9323,1.009,9,11111011001001,23.25,0.677,1.325,-1,5,45.999977111816406,None,None,None,
bo,5,init,430008b04428,True,0.75,0.75,1,0,7.8,1.1105,1.142,12,11110111111011,24.82,0.677,1.281,137,7,0.0,None,None,None,
bo,6,init,be2a10df5be7,False,None,None,None,None,None,1.0180,1.025,10,01011111111010,25.56,0.634,1.487,-1,5,11.000000953674316,None,None,None,
bo,7,init,96adfa869f5e,False,None,None,None,None,None,0.9990,0.892,11,11011101111101,28.93,0.562,1.216,-1,4,39.9999885559082,None,None,None,
bo,8,init,804177ce0575,True,0.9166666666666666,0.9166666666666666,1,0,8.1,0.9605,0.888,12,10111101111111,26.44,0.576,1.370,127,7,23.000001907348633,None,None,None,
bo,9,init,b0be1fcdbc33,False,None,None,None,None,None,1.0162,0.975,8,00101110101101,23.23,0.618,1.135,-1,2,36.99999237060547,None,None,None,
bo,10,init,292143e4de5c,True,0.95,0.95,1,0,6.75,0.9957,0.894,9,11001101110011,24.47,0.668,1.375,87,7,18.000001907348633,None,None,None,
bo,11,init,71bd12a56093,False,None,None,None,None,None,0.9851,0.852,12,01111111111101,25.68,0.682,1.261,-1,4,40.99998474121094,None,None,None,
bo,12,init,37694fd0a3a6,True,0.7,0.7,1,0,8.25,1.0001,0.828,13,11111110111111,29.29,0.685,1.168,68,7,19.000001907348633,None,None,None,
bo,13,init,12a1d17b3075,False,None,None,None,None,None,0.9672,0.917,11,11101111011101,28.65,0.613,1.276,-1,5,42.99998474121094,None,None,None,
bo,14,init,e44d213aab04,False,None,None,None,None,None,0.9395,0.860,11,00111111101111,25.93,0.630,1.249,-1,4,27.000001907348633,None,None,None,
bo,15,init,75eef0622862,False,None,None,None,None,None,0.9909,1.115,9,10111101110010,22.83,0.578,1.174,-1,5,10.000000953674316,None,None,None,
bo,16,init,856b1de97059,True,0.85,0.85,1,0,8.6,1.0476,1.152,13,11111110111111,26.71,0.666,0.986,68,6,0.0,None,None,None,
bo,17,init,7adcae001142,False,None,None,None,None,None,1.0300,1.095,10,00111111110101,24.27,0.627,1.114,-1,4,31.000003814697266,None,None,None,
bo,18,init,f7ec1f1b2590,True,0.6166666666666667,0.6491228070175439,0.95,0,7.315789473684211,0.9001,0.818,10,11110110110011,25.80,0.662,1.301,31,7,33.0,None,None,None,
bo,19,init,fc241bf1cf0b,True,0.8833333333333333,0.8833333333333333,1,0,7.0,0.9970,0.965,11,11110101011111,28.96,0.645,1.179,92,7,15.000001907348633,None,None,None,
bo,20,init,fc8edff06188,False,None,None,None,None,None,1.0434,1.027,12,11111101111101,26.43,0.731,1.296,-1,5,31.000003814697266,None,None,None,
bo,21,init,58ece861a7c9,True,0.9333333333333333,0.9333333333333333,1,0,7.55,1.0123,0.881,12,10111110111111,28.72,0.689,1.330,67,7,16.0,None,None,None,
bo,22,init,e2396d22a545,True,0.6833333333333333,0.6833333333333333,1,0,8.25,0.9523,0.849,13,11111111111011,28.62,0.715,1.386,67,7,25.000001907348633,None,None,None,
bo,23,init,f6aac97840c8,False,None,None,None,None,None,1.0535,1.124,10,11011100101111,24.70,0.586,1.175,-1,3,1.0,None,None,None,
bo,24,init,83771944d05d,True,0.7,0.7,1,0,7.75,0.9424,0.910,13,10111111111111,23.90,0.598,1.323,67,7,26.000001907348633,None,None,None,
bo,25,init,5632a734015e,True,0.8,0.8,1,0,8.15,1.0318,0.992,12,11110111111011,27.78,0.633,1.058,68,8,9.000000953674316,None,None,None,
bo,26,init,8816e7799c58,False,None,None,None,None,None,0.9881,1.164,9,01011010111011,22.81,0.531,1.029,-1,5,8.0,None,None,None,
bo,27,init,835c97225475,False,None,None,None,None,None,0.9515,1.114,13,01111111111111,22.40,0.676,1.306,-1,4,16.0,None,None,None,
bo,28,init,4d8da8a296e5,True,0.75,0.75,1,0,8.65,1.0921,0.999,13,11111111111011,24.94,0.683,1.496,67,8,1.0,None,None,None,
bo,29,init,dfc8cb33250e,False,None,None,None,None,None,0.8462,0.876,10,11111111100010,23.05,0.787,1.109,-1,5,39.9999885559082,None,None,None,
bo,30,init,afa820491c50,True,0.55,0.55,1,0,6.85,1.0510,1.071,9,11110110011010,22.79,0.629,1.163,145,6,4.0,None,None,None,
bo,31,bo,2b7a557b74ae,True,1,1,1,0,7.75,1.0170,0.857,11,10111100111111,29.47,0.718,1.353,128,6,16.0,0.01096677985671687,0.013393824689490741,0.8187937434571461,local
bo,32,bo,ecdfa75e83ff,True,0.9833333333333333,0.9833333333333333,1,0,6.95,1.0105,0.829,12,10111101111111,28.66,0.719,1.306,128,6,18.000001907348633,0.012485918037182145,0.01401665818818758,0.890791361931373,local
bo,33,bo,6d16fe03faaf,False,None,None,None,None,None,1.0169,0.827,10,10101100111111,29.96,0.711,1.329,-1,5,17.0,0.014142440114601704,0.015533188970042558,0.9104659797725332,local
bo,34,bo,32ad95a1df99,True,1,1,1,0,7.6,1.0161,0.871,10,10111100110111,28.54,0.711,1.325,128,6,16.0,0.01121240609980344,0.014762083697869972,0.7595408838808632,local
bo,35,bo,bc7866998974,True,1,1,1,0,7.4,1.0066,0.844,10,10011100111111,29.33,0.756,1.371,128,6,18.000001907348633,0.014158237517665324,0.018478553648061904,0.766198360938833,local
bo,36,bo,c509961322e2,False,None,None,None,None,None,1.0193,0.846,10,10101100111111,30.48,0.711,1.301,-1,5,16.0,0.01500807342580384,0.02035714409705803,0.7372386496970749,local
bo,37,bo,bd020df055d4,True,1,1,1,0,7.5,1.0033,0.826,10,10011101110111,26.78,0.735,1.281,125,7,19.000001907348633,0.013573993590518738,0.016466025628295494,0.8243636865955656,local
bo,38,bo,1c666795200f,True,1,1,1,0,7.05,1.0166,0.844,10,10111000111111,29.46,0.710,1.287,67,6,17.0,0.014694289663624934,0.01768848440813494,0.8307263259291466,local
bo,39,bo,94a5a256b342,True,1,1,1,0,7.05,1.0198,0.839,11,10111100111111,29.52,0.729,1.365,128,6,17.0,0.014703151911653445,0.016936789645276853,0.8681191784036651,local
bo,40,bo,adda09091f05,True,1,1,1,0,6.6,1.0137,0.862,10,10101101110111,27.81,0.690,1.237,98,6,17.0,0.013875626168116587,0.019235666278889868,0.7213488717749463,local
bo,41,bo,eef7974867ff,True,1,1,1,0,6.8,1.0069,0.849,8,10011000110111,26.80,0.737,1.209,31,6,18.000001907348633,0.013710741883600327,0.015167293631825306,0.9039675908186601,local
bo,42,bo,4f4be5d56e04,True,1,1,1,0,6.5,0.9961,0.834,8,10011100010111,27.84,0.719,1.301,128,6,20.000001907348633,0.013710844624273903,0.01514538171233456,0.9052822097648185,local
bo,43,bo,4b74493bc08e,False,None,None,None,None,None,1.0015,0.847,8,10001100110111,29.26,0.749,1.247,-1,5,19.000001907348633,0.013994501860558159,0.017811956530578765,0.7856802163497889,local
bo,44,bo,2301cc23d9a0,False,None,None,None,None,None,1.0069,0.839,8,10111000100111,28.74,0.693,1.254,-1,5,18.000001907348633,0.011957519423832634,0.014888102967327267,0.8031593716186707,local
bo,45,bo,1915fa45f6b7,False,None,None,None,None,None,1.0185,0.867,10,10111100111101,29.72,0.724,1.438,-1,4,36.99999237060547,0.01125010596149849,0.015976407475351572,0.7041699442665801,local
bo,46,bo,feba73187a44,True,0.95,0.95,1,0,7.3,0.9936,0.815,9,10011100110111,28.44,0.732,1.352,128,6,21.000001907348633,0.010300140624755115,0.013628809279553115,0.7557623276897785,local
bo,47,bo,58abd05d7a13,True,0.9833333333333333,0.9833333333333333,1,0,6.95,1.0044,0.883,9,10111001010111,26.13,0.662,1.217,31,7,17.0,0.019328129802437442,0.022850952638851726,0.845834749557675,local
bo,48,bo,f9a2098626c4,True,1,1,1,0,6.9,1.0107,0.840,10,10011101011111,28.09,0.734,1.313,95,7,18.000001907348633,0.013707559426193533,0.015372803169607535,0.8916759861528549,local
bo,49,bo,bacb162183c7,True,1,1,1,0,7.5,1.0327,0.834,11,11011001111111,25.61,0.704,1.175,67,7,15.000001907348633,0.01247021734129091,0.014009417549116573,0.890131034896399,local
bo,50,bo,077ca6ee8f75,True,1,1,1,0,6.35,1.0252,0.875,9,10001001111111,26.86,0.711,1.203,97,6,15.000001907348633,0.013320919803854624,0.020216389998006085,0.6589168395133082,local
bo,51,bo,aa2f97cf6615,True,0.1,0.4,0.25,0,6.0,1.0219,0.861,8,00011101010111,24.49,0.701,1.373,128,6,16.0,0.01304852794213399,0.017177670177232523,0.7596215207012564,local
bo,52,bo,b43fab205f01,True,1,1,1,0,7.0,1.0029,0.824,10,10011001111111,27.03,0.735,1.254,67,7,19.000001907348633,0.06618364581516135,0.07265421217280392,0.9109402446997472,local
bo,53,bo,3ee064bea309,True,0.9,0.9,1,0,6.6,1.0109,0.812,9,10011100011111,29.64,0.751,1.361,128,6,18.000001907348633,0.06506554165902663,0.07158662073184108,0.9089064547795601,local
bo,54,bo,6c2289ed72df,True,1,1,1,0,7.7,1.0054,0.820,11,10011101111111,27.38,0.757,1.328,99,7,19.000001907348633,0.06450850113583308,0.0694243209780318,0.9291916755836293,local
